id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,02/01/2019 00:00,154.66,158.53,153.93,157.56,62429,164.7145,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,03/01/2019 00:00,144.25,145.41,141.7,141.81,61114,163.6885,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,04/01/2019 00:00,144.11,148.23,143.5,147.89,43416,161.5555,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,07/01/2019 00:00,147.98,148.51,145.6,147.59,59184,160.129,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,08/01/2019 00:00,149.3,151.51,148.22,150.41,53182,158.7965,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,09/01/2019 00:00,150.08,154.22,149.33,153.03,61099,157.9105,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,10/01/2019 00:00,152.09,153.66,150.56,153.49,51549,157.0925,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,11/01/2019 00:00,152.81,153.36,151.21,151.85,36487,156.354,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,14/01/2019 00:00,150.85,150.89,148.91,149.55,34368,155.4985,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,15/01/2019 00:00,149.99,153.07,149.83,152.78,39946,154.44,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,16/01/2019 00:00,153.36,155.57,153.36,154.62,37447,153.822,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,17/01/2019 00:00,153.73,157.34,152.96,155.34,45283,153.363,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,18/01/2019 00:00,156.69,157.52,155.68,156.53,40721,152.839,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,22/01/2019 00:00,156.15,156.34,152.32,153.23,48025,152.641,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,23/01/2019 00:00,153.86,154.83,151.4,153.65,47600,152.478,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,24/01/2019 00:00,153.91,154.17,151.43,152.31,36154,152.6135,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,25/01/2019 00:00,154.65,157.82,154.01,157.39,33566,152.9035,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,28/01/2019 00:00,154.79,155.98,153.36,155.98,36818,152.934,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,29/01/2019 00:00,155.93,157.82,153.81,154.35,35412,152.9615,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,30/01/2019 00:00,162.28,165.82,159.94,165.01,54006,152.871,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,31/01/2019 00:00,165.39,168.69,164.26,166.39,42974,153.2185,2019_11_09-AppleEarnings-Q22019-APR,daily
,AAPL,01/02/2019 00:00,166.82,168.68,165.63,166.26,44226,153.66,2019_11_09-AppleEarnings-Q22019-APR,daily
