id,date,title,name
,16/07/2019,Heres How Apple Can Beat Earnings Expectations,2019_11_09-AppleEarnings-Q22019-JUL
,17/07/2019,"Goldman Sachs raises its price target for Apple, citing overall ...",2019_11_09-AppleEarnings-Q22019-JUL
,22/07/2019,"Morgan Stanley hikes AAPL to $247, says investors are ...",2019_11_09-AppleEarnings-Q22019-JUL
,25/07/2019,Buy Apple (AAPL) Stock Before Earnings on Services & China ...,2019_11_09-AppleEarnings-Q22019-JUL
,27/07/2019,All Eyes on Apples (AAPL) Third-Quarter Report,2019_11_09-AppleEarnings-Q22019-JUL
,30/07/2019,AAPL stock could rise even if todays news isnt good ...,2019_11_09-AppleEarnings-Q22019-JUL
,30/07/2019,Last Minute Thought: Buy or Sell Apple (AAPL) Stock Before ...,2019_11_09-AppleEarnings-Q22019-JUL
,09/08/2019,AAPL Stock: Why Apple Will Be A Whole New Company in ...,2019_11_09-AppleEarnings-Q22019-JUL
,12/08/2019,Why I Sold Apple,2019_11_09-AppleEarnings-Q22019-JUL
,15/08/2019,Apple Stock Is Looking Ripe for the Picking At $200,2019_11_09-AppleEarnings-Q22019-JUL
