id,date,title,name
,22/01/2019,The Pros And Cons of Apple Stock,2019_11_11-AppleEarnings-Q12019-JAN
,23/01/2019,What Can We Expect From Apple Inc.s (NASDAQ:AAPL ,2019_11_11-AppleEarnings-Q12019-JAN
,25/01/2019,"AAPL recovers $75 billion, returning to company value last ",2019_11_11-AppleEarnings-Q12019-JAN
,28/01/2019,"Apples iPhone Woes are Over, But are AAPL Shares Really ",2019_11_11-AppleEarnings-Q12019-JAN
,29/01/2019,Apple Earnings: AAPL Stock Surges on Q1 EPS Beat,2019_11_11-AppleEarnings-Q12019-JAN
,30/01/2019,"5 Top Stock Trades for Thursday: AAPL, AMD, BA",2019_11_11-AppleEarnings-Q12019-JAN
,01/02/2019,"Apple: Together We Fell, Together Well Rise",2019_11_11-AppleEarnings-Q12019-JAN
,04/02/2019,Apple: The Major Decision Is Coming,2019_11_11-AppleEarnings-Q12019-JAN
,06/02/2019,Should You Buy Apple Stock in February?,2019_11_11-AppleEarnings-Q12019-JAN
,08/02/2019,Get Ready for a Good AAPL Stock Entry Point,2019_11_11-AppleEarnings-Q12019-JAN
