id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,EURCHF240,25/03/2019 00:00,1.12249,1.12293,1.12203,1.12252,3358,1.130327,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,25/03/2019 04:00,1.12253,1.12434,1.12246,1.12424,3007,1.1297335,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,25/03/2019 08:00,1.12425,1.12561,1.12322,1.12547,12433,1.1292355,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,25/03/2019 12:00,1.12547,1.1255,1.12316,1.12327,12280,1.1287945,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,25/03/2019 16:00,1.12327,1.12372,1.12232,1.12251,11630,1.128253,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,25/03/2019 20:00,1.12253,1.12285,1.12214,1.1226,4721,1.1276525,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 00:00,1.1226,1.12292,1.12212,1.12273,3745,1.1271055,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 04:00,1.12273,1.12301,1.12241,1.12261,2132,1.126612,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 08:00,1.12261,1.12408,1.12242,1.12341,10025,1.126138,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 12:00,1.1234,1.12464,1.12203,1.12218,15817,1.125685,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 16:00,1.12218,1.1234,1.12088,1.12097,11666,1.1251765,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,26/03/2019 20:00,1.12098,1.12099,1.1199,1.12042,5450,1.1246035,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 00:00,1.12042,1.12065,1.11979,1.12026,4164,1.124138,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 04:00,1.12026,1.12113,1.11991,1.12112,3678,1.1237585,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 08:00,1.12113,1.12189,1.11975,1.1202,13784,1.1234095,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 12:00,1.12021,1.12118,1.1172,1.11938,19267,1.1229625,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 16:00,1.11938,1.12027,1.11821,1.12002,16844,1.122462,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
,EURCHF240,27/03/2019 20:00,1.12003,1.12068,1.11831,1.11837,6295,1.122147,2019_11_11-EURCHF-DowntrendMaySep-2019,4h
