id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,03/06/2019 16:30,176.06,177.6,171.99,173.59,41778,180.87,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,03/06/2019 20:30,173.59,173.87,169.98,172.96,35957,180.0825,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,04/06/2019 16:30,175.32,179.44,174.22,178.25,36277,179.287,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,04/06/2019 20:30,178.26,179.51,178.18,179.46,11281,179.0815,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,05/06/2019 16:30,184.51,184.67,180.83,182.1,40950,178.914,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,05/06/2019 20:30,182.11,182.6,181.28,182.49,13737,178.6695,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,06/06/2019 16:30,182.92,183.59,181.84,183.16,30521,178.4765,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,06/06/2019 20:30,183.16,185.17,182.85,184.73,14983,178.495,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,07/06/2019 16:30,185.76,191.61,185.65,189.86,33870,178.6135,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,07/06/2019 20:30,189.87,190.2,189.49,189.79,11532,179.15,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,10/06/2019 16:30,191.67,195.04,191.42,193,24407,179.6705,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,10/06/2019 20:30,192.99,193.33,191.74,192.47,14335,180.3425,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,11/06/2019 16:30,194.66,195.69,193.29,193.57,30208,181.0435,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,11/06/2019 20:30,193.57,194.85,193.42,194.46,12389,181.8015,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,12/06/2019 16:30,193.43,195.65,193.3,194.31,22794,182.606,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,12/06/2019 20:30,194.32,194.44,193.48,193.53,7570,183.4295,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,13/06/2019 16:30,194.58,196.48,194.14,195.21,24541,184.237,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,13/06/2019 20:30,195.22,195.3,193.38,193.67,10443,185.1395,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,14/06/2019 16:30,191.19,192.55,190,192.43,24756,185.93,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,14/06/2019 20:30,192.43,193.27,192.26,192.52,8557,186.6985,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,17/06/2019 16:30,192.54,194.65,191.85,193.91,16900,187.578,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,17/06/2019 20:30,193.89,194.47,193.29,193.4,6976,188.594,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,18/06/2019 16:30,195.47,199.98,194.94,197.95,30832,189.616,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,18/06/2019 20:30,197.95,198.71,197.6,198.13,10610,190.601,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,19/06/2019 16:30,199.13,199.19,197.13,197.38,17570,191.5345,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,19/06/2019 20:30,197.39,199.55,197.01,197.61,21063,192.2985,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,20/06/2019 16:30,199.95,200.27,197.73,199.08,29571,193.0545,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,20/06/2019 20:30,199.09,199.68,198.67,199.31,10727,193.8505,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,21/06/2019 16:30,198.35,200.54,197.82,200.27,25902,194.5795,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,21/06/2019 20:30,200.29,200.32,198.52,198.52,10065,195.1,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,24/06/2019 16:30,198.5,199.83,198.49,198.78,23297,195.5365,2019_11_09-AppleEarnings-Q22019-JUL,4h
,AAPL,24/06/2019 20:30,198.76,199.05,198.3,198.33,8158,195.8255,2019_11_09-AppleEarnings-Q22019-JUL,4h
