id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,19/11/2018 00:00,190.1,190.31,184.64,185.38,89250,207.2315,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,20/11/2018 00:00,177.29,181.09,175.49,176.29,111035,205.4675,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,21/11/2018 00:00,179.26,179.89,176.2,176.89,53473,203.1785,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,23/11/2018 00:00,174.37,176.21,171.77,171.89,31818,201.298,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,26/11/2018 00:00,173.67,174.58,169.92,174.19,51584,198.8985,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,27/11/2018 00:00,171.23,174.4,170.53,173.9,53470,196.866,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,28/11/2018 00:00,176.25,180.9,174.58,180.74,63157,194.978,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,29/11/2018 00:00,182.02,182.02,177.35,179.21,49334,193.3555,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,30/11/2018 00:00,179.62,179.62,176.68,178.08,38054,191.3745,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,03/12/2018 00:00,183.55,184.48,180.91,184.47,57398,189.197,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,04/12/2018 00:00,181.4,182.08,175.96,176.42,76219,188.1745,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,06/12/2018 00:00,171.81,174.44,170.12,174.24,91185,186.9405,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,07/12/2018 00:00,172.92,174.18,168.01,168.13,84258,185.471,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,10/12/2018 00:00,164.15,169.77,163.43,169.39,98158,183.401,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,11/12/2018 00:00,170.72,170.74,166.7,168.26,74464,181.473,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,12/12/2018 00:00,169.93,171.61,168.72,168.96,50691,179.6835,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,13/12/2018 00:00,169.81,172.24,169.25,170.72,60330,178.4435,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,14/12/2018 00:00,168.33,168.49,164.98,165.14,53927,177.38,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,17/12/2018 00:00,166.11,168.04,162.42,163.8,68781,176.326,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,18/12/2018 00:00,165.24,167.22,164.08,165.82,56848,174.9795,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,19/12/2018 00:00,165.25,167.12,158.85,160.49,74148,173.596,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,20/12/2018 00:00,160.46,161.75,155.04,156.49,97877,172.3515,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,21/12/2018 00:00,156.01,157.83,149.32,150.94,93895,171.3615,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,24/12/2018 00:00,148.86,151.21,146.46,146.51,47860,170.064,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,26/12/2018 00:00,148.25,156.9,146.42,156.78,86019,168.795,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,27/12/2018 00:00,155.28,156.32,149.77,155.43,84529,167.9245,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,28/12/2018 00:00,156.86,158.21,154.25,156.16,81105,167.001,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,31/12/2018 00:00,158.15,159.04,156.2,158.06,33611,165.772,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,02/01/2019 00:00,154.66,158.53,153.93,157.56,62429,164.7145,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,03/01/2019 00:00,144.25,145.41,141.7,141.81,61114,163.6885,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,04/01/2019 00:00,144.11,148.23,143.5,147.89,43416,161.5555,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,07/01/2019 00:00,147.98,148.51,145.6,147.59,59184,160.129,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,08/01/2019 00:00,149.3,151.51,148.22,150.41,53182,158.7965,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,09/01/2019 00:00,150.08,154.22,149.33,153.03,61099,157.9105,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,10/01/2019 00:00,152.09,153.66,150.56,153.49,51549,157.0925,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,11/01/2019 00:00,152.81,153.36,151.21,151.85,36487,156.354,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,14/01/2019 00:00,150.85,150.89,148.91,149.55,34368,155.4985,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,15/01/2019 00:00,149.99,153.07,149.83,152.78,39946,154.44,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,16/01/2019 00:00,153.36,155.57,153.36,154.62,37447,153.822,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,17/01/2019 00:00,153.73,157.34,152.96,155.34,45283,153.363,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,18/01/2019 00:00,156.69,157.52,155.68,156.53,40721,152.839,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,22/01/2019 00:00,156.15,156.34,152.32,153.23,48025,152.641,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,23/01/2019 00:00,153.86,154.83,151.4,153.65,47600,152.478,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,24/01/2019 00:00,153.91,154.17,151.43,152.31,36154,152.6135,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,25/01/2019 00:00,154.65,157.82,154.01,157.39,33566,152.9035,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,28/01/2019 00:00,154.79,155.98,153.36,155.98,36818,152.934,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,29/01/2019 00:00,155.93,157.82,153.81,154.35,35412,152.9615,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,30/01/2019 00:00,162.28,165.82,159.94,165.01,54006,152.871,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,31/01/2019 00:00,165.39,168.69,164.26,166.39,42974,153.2185,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,01/02/2019 00:00,166.82,168.68,165.63,166.26,44226,153.66,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,04/02/2019 00:00,167.36,171.35,167.07,170.85,36064,154.8825,2019_11_11-AppleEarnings-Q12019-JAN,daily
,AAPL,05/02/2019 00:00,172.15,174.77,172.05,173.75,42201,156.0305,2019_11_11-AppleEarnings-Q12019-JAN,daily
