id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,20/10/2011 00:00,57.12,57.17,56.31,56.47,21833,56.5195,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,21/10/2011 00:00,56.87,57,55.82,56.12,17431,56.4695,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,24/10/2011 00:00,56.58,58.06,56.49,57.96,17897,56.3875,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,25/10/2011 00:00,57.86,58.07,56.76,56.87,16879,56.407,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,26/10/2011 00:00,57.39,57.49,56.16,57.24,18859,56.398,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,27/10/2011 00:00,58.23,58.42,57.41,57.77,17986,56.424,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,28/10/2011 00:00,57.55,58.04,57.53,57.85,14551,56.523,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,31/10/2011 00:00,57.48,58.47,57.29,57.86,17875,56.6915,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,01/11/2011 00:00,56.71,57.01,56.17,56.64,18542,56.91,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,02/11/2011 00:00,57.16,57.16,56.44,56.77,16092,57.082,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,03/11/2011 00:00,57.02,57.62,56.48,57.56,11737,57.2175,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,04/11/2011 00:00,57.43,57.62,57.02,57.18,10880,57.401,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,07/11/2011 00:00,56.99,56.99,56.59,56.96,9893,57.6085,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,08/11/2011 00:00,57.44,58.15,57.37,58,14565,57.6815,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/11/2011 00:00,56.69,57.26,56.32,56.39,17568,57.725,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,10/11/2011 00:00,56.72,56.73,54.59,55.02,21210,57.6725,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,11/11/2011 00:00,55.23,55.52,54.35,54.93,20185,57.507,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,14/11/2011 00:00,54.79,55.03,54.03,54.17,15697,57.24,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,15/11/2011 00:00,54.39,55.63,54.21,55.54,10540,56.9495,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,16/11/2011 00:00,55.59,55.86,54.9,54.94,11079,56.7135,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,17/11/2011 00:00,54.8,54.92,53.64,53.85,15641,56.612,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,18/11/2011 00:00,54.13,54.27,53.55,53.56,14662,56.481,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,21/11/2011 00:00,52.89,53.07,52.27,52.72,17645,56.353,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,22/11/2011 00:00,53,53.98,52.99,53.79,16438,56.091,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,23/11/2011 00:00,53.5,53.68,52.41,52.45,15489,55.937,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,25/11/2011 00:00,52.59,53.01,51.9,51.96,9320,55.6975,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,28/11/2011 00:00,53.18,53.81,52.9,53.72,14944,55.407,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,29/11/2011 00:00,53.64,54.11,52.88,53.31,18705,55.2005,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,30/11/2011 00:00,54.44,54.56,54.04,54.52,15547,54.973,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,01/12/2011 00:00,54.63,55.56,54.39,55.37,15261,54.867,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,02/12/2011 00:00,55.69,56.22,55.51,55.68,14326,54.797,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,05/12/2011 00:00,56.21,56.62,55.76,56.14,16128,54.703,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,06/12/2011 00:00,56.05,56.37,55.62,55.83,15517,54.651,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,07/12/2011 00:00,55.67,55.84,55.25,55.59,15091,54.5945,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,08/12/2011 00:00,55.89,56.49,55.75,55.84,17318,54.474,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/12/2011 00:00,56.1,56.28,55.86,56.22,13843,54.4465,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,12/12/2011 00:00,55.95,56.26,55.63,55.98,14716,54.5065,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,13/12/2011 00:00,56.11,56.48,55.3,55.53,16677,54.559,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,14/12/2011 00:00,55.25,55.31,53.95,54.29,18180,54.627,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,15/12/2011 00:00,54.78,54.79,54.04,54.13,13891,54.5645,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,16/12/2011 00:00,54.25,54.87,54.22,54.38,15381,54.524,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,19/12/2011 00:00,54.63,54.97,54.35,54.54,13209,54.5505,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,20/12/2011 00:00,55.36,56.57,55.32,56.57,14643,54.5995,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,21/12/2011 00:00,56.59,56.74,56,56.63,13985,54.792,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,22/12/2011 00:00,56.71,57.01,56.59,56.93,10285,54.934,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,23/12/2011 00:00,57.07,57.65,57.06,57.61,9701,55.158,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,27/12/2011 00:00,57.58,58.43,57.58,58.08,10242,55.4405,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,28/12/2011 00:00,58.13,58.31,57.33,57.51,11644,55.6585,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,29/12/2011 00:00,57.6,57.94,57.22,57.86,10391,55.8685,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,30/12/2011 00:00,57.64,58.03,57.64,57.85,7452,56.0355,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,03/01/2012 00:00,58.5,58.92,58.43,58.69,12977,56.1595,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,04/01/2012 00:00,58.57,59.23,58.47,59.06,11431,56.31,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,05/01/2012 00:00,59.26,59.78,58.95,59.7,12265,56.456,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,06/01/2012 00:00,59.97,60.38,59.89,60.34,12089,56.6495,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/01/2012 00:00,60.79,61.1,60.19,60.23,15348,56.887,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,10/01/2012 00:00,60.84,60.85,60.21,60.44,12232,57.1065,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,11/01/2012 00:00,60.29,60.4,59.9,60.36,11149,57.3175,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,12/01/2012 00:00,60.32,60.4,59.81,60.19,10122,57.5365,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,13/01/2012 00:00,59.91,60.05,59.81,59.96,10935,57.7695,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,17/01/2012 00:00,60.57,60.85,60.42,60.66,10441,58.053,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,18/01/2012 00:00,60.97,61.34,60.9,61.28,10761,58.3795,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,19/01/2012 00:00,61.43,61.61,60.93,61.07,10846,58.7245,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,20/01/2012 00:00,61.02,61.04,59.96,60.03,12058,59.051,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,23/01/2012 00:00,60.38,61.2,60.33,61.05,14737,59.224,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,24/01/2012 00:00,60.72,60.72,59.94,60.07,13687,59.445,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,25/01/2012 00:00,64.89,64.89,63.39,63.79,21731,59.602,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,26/01/2012 00:00,64.05,64.1,63.3,63.5,12504,59.911,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,27/01/2012 00:00,63.45,64.06,63.43,63.9,10999,60.182,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,30/01/2012 00:00,63.67,64.83,63.62,64.71,13792,60.5015,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,31/01/2012 00:00,65.08,65.45,64.72,65.18,12776,60.844,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,01/02/2012 00:00,65.48,65.56,65.08,65.17,7771,61.2105,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,02/02/2012 00:00,65.13,65.3,64.85,65,9863,61.5345,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,03/02/2012 00:00,65.33,65.71,65.08,65.64,9989,61.8315,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,06/02/2012 00:00,65.47,66.42,65.46,66.24,10916,62.1285,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,07/02/2012 00:00,66.46,67.1,66.37,66.93,12285,62.4235,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,08/02/2012 00:00,67.21,68.11,67.1,68.08,14106,62.7585,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/02/2012 00:00,68.65,70.95,68.65,70.45,25472,63.1405,2019_11_08-AppleEarnings-Q32019-OCT,daily
