id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,EURCHF1440,18/03/2019 00:00,1.1346,1.13647,1.13375,1.13495,35714,1.1351665,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,19/03/2019 00:00,1.13492,1.13583,1.13382,1.1342,36278,1.135134,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,20/03/2019 00:00,1.1342,1.135,1.13169,1.13209,57321,1.135095,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,21/03/2019 00:00,1.13214,1.13332,1.1265,1.1281,60250,1.1349735,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,22/03/2019 00:00,1.12808,1.12974,1.12112,1.12222,75662,1.134652,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,25/03/2019 00:00,1.12249,1.12561,1.12203,1.1226,47429,1.134085,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,26/03/2019 00:00,1.1226,1.12464,1.1199,1.12042,48835,1.1334035,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,27/03/2019 00:00,1.12042,1.12189,1.1172,1.11837,64032,1.1325025,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,28/03/2019 00:00,1.11837,1.12133,1.11645,1.11666,61014,1.1315045,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,29/03/2019 00:00,1.11664,1.12002,1.116,1.116,55693,1.130611,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,01/04/2019 00:00,1.11699,1.12032,1.11662,1.11969,57172,1.1296565,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,02/04/2019 00:00,1.12007,1.12024,1.11681,1.11797,53075,1.129012,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,03/04/2019 00:00,1.11819,1.12155,1.11689,1.12098,46324,1.12815,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,04/04/2019 00:00,1.12109,1.12243,1.11862,1.12182,46401,1.127394,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,05/04/2019 00:00,1.12201,1.12391,1.12033,1.12161,40397,1.126895,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,08/04/2019 00:00,1.12105,1.1256,1.12063,1.12469,35349,1.126371,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,09/04/2019 00:00,1.12475,1.12791,1.12438,1.12583,47648,1.125787,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,10/04/2019 00:00,1.12599,1.13036,1.12541,1.12997,53121,1.125211,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,11/04/2019 00:00,1.13019,1.13137,1.12884,1.12892,43316,1.124863,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,12/04/2019 00:00,1.12907,1.13309,1.12806,1.13261,45695,1.1245805,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,15/04/2019 00:00,1.13226,1.13531,1.13205,1.13476,34375,1.124485,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,16/04/2019 00:00,1.13496,1.1377,1.13405,1.13655,49639,1.1244755,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,17/04/2019 00:00,1.13663,1.14216,1.13612,1.14137,45428,1.124593,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,18/04/2019 00:00,1.14192,1.14192,1.13649,1.1402,49340,1.125057,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,19/04/2019 00:00,1.14037,1.14103,1.13897,1.13972,56648,1.125662,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,22/04/2019 00:00,1.13941,1.14386,1.13921,1.14295,16732,1.126537,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,23/04/2019 00:00,1.14331,1.14756,1.14076,1.14495,45277,1.1275545,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,24/04/2019 00:00,1.14493,1.14531,1.13786,1.13803,57961,1.128781,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,25/04/2019 00:00,1.13806,1.13884,1.1355,1.13568,49644,1.129764,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,26/04/2019 00:00,1.13573,1.13846,1.13492,1.13591,50025,1.130715,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,29/04/2019 00:00,1.13567,1.14085,1.13567,1.14035,32248,1.1317105,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
,EURCHF1440,30/04/2019 00:00,1.14037,1.14444,1.13876,1.14286,52306,1.1327435,2019_11_11-EURCHF-DowntrendMaySep-2019,daily
