id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,EURCHF1440,23/06/1993 00:00,1.7412,1.7457,1.7368,1.7389,1551,1.74928,2019_11_11-EURCHF-DowntrendMaySep2059,daily
,EURCHF1440,24/06/1993 00:00,1.7405,1.7419,1.7324,1.7363,1481,1.74883,2019_11_11-EURCHF-DowntrendMaySep2060,daily
,EURCHF1440,25/06/1993 00:00,1.7361,1.7394,1.7318,1.7363,1501,1.748405,2019_11_11-EURCHF-DowntrendMaySep2061,daily
,EURCHF1440,28/06/1993 00:00,1.7354,1.7373,1.7281,1.7358,1801,1.747835,2019_11_11-EURCHF-DowntrendMaySep2062,daily
,EURCHF1440,29/06/1993 00:00,1.7354,1.7396,1.7317,1.7354,1581,1.747225,2019_11_11-EURCHF-DowntrendMaySep2063,daily
,EURCHF1440,30/06/1993 00:00,1.735,1.7389,1.7294,1.733,1701,1.746525,2019_11_11-EURCHF-DowntrendMaySep2064,daily
,EURCHF1440,01/07/1993 00:00,1.7323,1.7465,1.7323,1.7442,1651,1.746105,2019_11_11-EURCHF-DowntrendMaySep2065,daily
,EURCHF1440,02/07/1993 00:00,1.7425,1.7452,1.7367,1.7409,1541,1.74589,2019_11_11-EURCHF-DowntrendMaySep2066,daily
,EURCHF1440,05/07/1993 00:00,1.7395,1.7458,1.7385,1.7452,891,1.744935,2019_11_11-EURCHF-DowntrendMaySep2067,daily
,EURCHF1440,06/07/1993 00:00,1.7439,1.7461,1.7329,1.7361,1861,1.74439,2019_11_11-EURCHF-DowntrendMaySep2068,daily
,EURCHF1440,07/07/1993 00:00,1.7365,1.7377,1.7306,1.7331,1081,1.74329,2019_11_11-EURCHF-DowntrendMaySep2069,daily
,EURCHF1440,08/07/1993 00:00,1.7335,1.7432,1.7294,1.7402,2091,1.741925,2019_11_11-EURCHF-DowntrendMaySep2070,daily
,EURCHF1440,09/07/1993 00:00,1.7365,1.7437,1.7359,1.7389,1321,1.74124,2019_11_11-EURCHF-DowntrendMaySep2071,daily
,EURCHF1440,12/07/1993 00:00,1.7419,1.7419,1.7268,1.7268,1511,1.74085,2019_11_11-EURCHF-DowntrendMaySep2072,daily
,EURCHF1440,13/07/1993 00:00,1.7269,1.7314,1.7248,1.728,1211,1.739845,2019_11_11-EURCHF-DowntrendMaySep2073,daily
,EURCHF1440,14/07/1993 00:00,1.7281,1.7288,1.7194,1.7217,1241,1.73884,2019_11_11-EURCHF-DowntrendMaySep2074,daily
,EURCHF1440,15/07/1993 00:00,1.7211,1.7252,1.7168,1.7226,1531,1.737315,2019_11_11-EURCHF-DowntrendMaySep2075,daily
,EURCHF1440,16/07/1993 00:00,1.7226,1.724,1.7142,1.7145,1151,1.736105,2019_11_11-EURCHF-DowntrendMaySep2076,daily
,EURCHF1440,19/07/1993 00:00,1.7188,1.7232,1.7163,1.7232,941,1.734515,2019_11_11-EURCHF-DowntrendMaySep2077,daily
,EURCHF1440,20/07/1993 00:00,1.7242,1.7265,1.7152,1.7233,2171,1.73367,2019_11_11-EURCHF-DowntrendMaySep2078,daily
,EURCHF1440,21/07/1993 00:00,1.7237,1.732,1.722,1.7278,1591,1.73272,2019_11_11-EURCHF-DowntrendMaySep2079,daily
,EURCHF1440,22/07/1993 00:00,1.7292,1.7297,1.7179,1.7263,2071,1.732165,2019_11_11-EURCHF-DowntrendMaySep2080,daily
,EURCHF1440,23/07/1993 00:00,1.7252,1.7313,1.7204,1.7259,2111,1.731665,2019_11_11-EURCHF-DowntrendMaySep2081,daily
,EURCHF1440,26/07/1993 00:00,1.7291,1.7295,1.7164,1.7236,2071,1.731145,2019_11_11-EURCHF-DowntrendMaySep2082,daily
,EURCHF1440,27/07/1993 00:00,1.7241,1.7275,1.7202,1.7225,1301,1.730535,2019_11_11-EURCHF-DowntrendMaySep2083,daily
,EURCHF1440,28/07/1993 00:00,1.7221,1.7266,1.7171,1.7208,1771,1.72989,2019_11_11-EURCHF-DowntrendMaySep2084,daily
,EURCHF1440,29/07/1993 00:00,1.7237,1.7241,1.7131,1.7186,1691,1.72928,2019_11_11-EURCHF-DowntrendMaySep2085,daily
,EURCHF1440,30/07/1993 00:00,1.7165,1.7192,1.7064,1.7104,1951,1.728,2019_11_11-EURCHF-DowntrendMaySep2086,daily
,EURCHF1440,02/08/1993 00:00,1.7095,1.7246,1.7074,1.7122,3171,1.726475,2019_11_11-EURCHF-DowntrendMaySep2087,daily
,EURCHF1440,03/08/1993 00:00,1.7123,1.726,1.7092,1.7205,2541,1.724825,2019_11_11-EURCHF-DowntrendMaySep2088,daily
,EURCHF1440,04/08/1993 00:00,1.7195,1.7283,1.7195,1.7216,1551,1.724045,2019_11_11-EURCHF-DowntrendMaySep2089,daily
,EURCHF1440,05/08/1993 00:00,1.7211,1.7267,1.7181,1.7223,1601,1.72347,2019_11_11-EURCHF-DowntrendMaySep2090,daily
,EURCHF1440,06/08/1993 00:00,1.7227,1.7364,1.72,1.7329,2261,1.722575,2019_11_11-EURCHF-DowntrendMaySep2091,daily
,EURCHF1440,09/08/1993 00:00,1.7317,1.7368,1.73,1.7319,1341,1.722275,2019_11_11-EURCHF-DowntrendMaySep2092,daily
,EURCHF1440,10/08/1993 00:00,1.7319,1.743,1.7289,1.7384,2171,1.72253,2019_11_11-EURCHF-DowntrendMaySep2093,daily
,EURCHF1440,11/08/1993 00:00,1.7384,1.7431,1.7355,1.7428,1081,1.72305,2019_11_11-EURCHF-DowntrendMaySep2094,daily
,EURCHF1440,12/08/1993 00:00,1.7422,1.7435,1.7331,1.7376,1621,1.724105,2019_11_11-EURCHF-DowntrendMaySep2095,daily
,EURCHF1440,13/08/1993 00:00,1.7378,1.747,1.736,1.7424,1741,1.724855,2019_11_11-EURCHF-DowntrendMaySep2096,daily
,EURCHF1440,16/08/1993 00:00,1.7435,1.7493,1.7285,1.7332,3131,1.72625,2019_11_11-EURCHF-DowntrendMaySep2097,daily
,EURCHF1440,17/08/1993 00:00,1.7342,1.7389,1.7306,1.7356,1521,1.72675,2019_11_11-EURCHF-DowntrendMaySep2098,daily
,EURCHF1440,18/08/1993 00:00,1.7349,1.738,1.7256,1.7289,1881,1.727365,2019_11_11-EURCHF-DowntrendMaySep2099,daily
,EURCHF1440,19/08/1993 00:00,1.7318,1.7318,1.7204,1.7228,1381,1.72742,2019_11_11-EURCHF-DowntrendMaySep2100,daily
,EURCHF1440,20/08/1993 00:00,1.7233,1.725,1.7104,1.7165,2241,1.727245,2019_11_11-EURCHF-DowntrendMaySep2101,daily
,EURCHF1440,23/08/1993 00:00,1.7227,1.724,1.7122,1.7191,2001,1.726775,2019_11_11-EURCHF-DowntrendMaySep2102,daily
,EURCHF1440,24/08/1993 00:00,1.7172,1.7245,1.7146,1.7185,1851,1.72655,2019_11_11-EURCHF-DowntrendMaySep2103,daily
,EURCHF1440,25/08/1993 00:00,1.7192,1.7226,1.714,1.7213,1511,1.72635,2019_11_11-EURCHF-DowntrendMaySep2104,daily
,EURCHF1440,26/08/1993 00:00,1.7214,1.7301,1.7177,1.725,2121,1.726375,2019_11_11-EURCHF-DowntrendMaySep2105,daily
,EURCHF1440,27/08/1993 00:00,1.7247,1.7308,1.7203,1.7272,1851,1.726695,2019_11_11-EURCHF-DowntrendMaySep2106,daily
