id,date,title,name
,17/09/2019,Peloton Powers Forward with Nasdaq IPO,2019_11_06-BullFlagAndBreakoutTrend
,19/09/2019,Wall St drops as White House weighs delisting Chinese ...,2019_11_06-BullFlagAndBreakoutTrend
,23/09/2019,Buy Amazon (AMZN) Stock on the Dip Before Q3 Earnings ...,2019_11_06-BullFlagAndBreakoutTrend
,27/09/2019,Dow Jones Today: Thank You Jobs Report,2019_11_06-BullFlagAndBreakoutTrend
,27/09/2019,Trump officials weigh limits on US portfolio flows into China ...,2019_11_06-BullFlagAndBreakoutTrend
,28/09/2019,Assessing Retail Standout Costco (COST) Stock Ahead of Q4 ...,2019_11_06-BullFlagAndBreakoutTrend
,29/09/2019,Wall Street mixed as investors await interest rate cut,2019_11_06-BullFlagAndBreakoutTrend
,02/10/2019,Stocks Little Changed Amid Global Growth Concerns,2019_11_06-BullFlagAndBreakoutTrend
,05/10/2019,PepsiCo (PEP) Set to Report Q3 Earnings: What's in Store for ...,2019_11_06-BullFlagAndBreakoutTrend
,05/10/2019,Exclusive: Nasdaq cracks down on IPOs of small Chinese ...,2019_11_06-BullFlagAndBreakoutTrend
