id,Symbol,date,Open,High,Low,Close,Volume
,USDCHF,04/01/2016 00:00,0.72402,0.72402,0.71886,0.71896,9084
,USDCHF,04/01/2016 04:00,0.71894,0.71953,0.71493,0.71547,7225
,USDCHF,04/01/2016 08:00,0.71547,0.71674,0.71197,0.71454,23042
,USDCHF,04/01/2016 12:00,0.71454,0.7206,0.71406,0.72038,25580
,USDCHF,04/01/2016 16:00,0.72038,0.72427,0.71772,0.71851,36304
,USDCHF,04/01/2016 20:00,0.71851,0.71939,0.71778,0.71795,14737
,USDCHF,05/01/2016 00:00,0.71756,0.72056,0.7175,0.72019,7186
,USDCHF,05/01/2016 04:00,0.72019,0.72091,0.71872,0.71905,5748
,USDCHF,05/01/2016 08:00,0.71906,0.72262,0.71847,0.72245,18569
,USDCHF,05/01/2016 12:00,0.72244,0.72569,0.72116,0.72496,25026
,USDCHF,05/01/2016 16:00,0.72496,0.72536,0.72031,0.72039,32303
,USDCHF,05/01/2016 20:00,0.72041,0.72196,0.71979,0.72041,16593
,USDCHF,06/01/2016 00:00,0.72032,0.7214,0.71878,0.71926,9513
,USDCHF,06/01/2016 04:00,0.71928,0.71961,0.7175,0.71904,7877
,USDCHF,06/01/2016 08:00,0.71906,0.71964,0.71592,0.71702,20057
,USDCHF,06/01/2016 12:00,0.71702,0.71835,0.71521,0.71832,26208
,USDCHF,06/01/2016 16:00,0.71829,0.71864,0.7145,0.71652,33641
,USDCHF,06/01/2016 20:00,0.71652,0.71655,0.71324,0.71531,25372
,USDCHF,07/01/2016 00:00,0.71535,0.71591,0.7124,0.71293,9621
,USDCHF,07/01/2016 04:00,0.71295,0.71322,0.70918,0.70956,12607
,USDCHF,07/01/2016 08:00,0.70956,0.71281,0.70765,0.71018,30743
,USDCHF,07/01/2016 12:00,0.71018,0.7107,0.70602,0.70903,33778
,USDCHF,07/01/2016 16:00,0.70904,0.71338,0.7088,0.71173,38964
,USDCHF,07/01/2016 20:00,0.71173,0.71175,0.70303,0.70303,24515
,USDCHF,08/01/2016 00:00,0.7031,0.70965,0.7031,0.70824,14879
,USDCHF,08/01/2016 04:00,0.70825,0.70861,0.70691,0.70783,7285
,USDCHF,08/01/2016 08:00,0.70781,0.70988,0.70592,0.70939,18698
,USDCHF,08/01/2016 12:00,0.70941,0.71344,0.70706,0.71008,29069
,USDCHF,08/01/2016 16:00,0.71011,0.71082,0.70153,0.70658,41783
,USDCHF,08/01/2016 20:00,0.70653,0.70679,0.70101,0.70123,20506
,USDCHF,11/01/2016 00:00,0.69981,0.70094,0.69642,0.70014,15923
,USDCHF,11/01/2016 04:00,0.70014,0.70255,0.70012,0.70156,6244
,USDCHF,11/01/2016 08:00,0.70159,0.70726,0.70058,0.70685,19024
,USDCHF,11/01/2016 12:00,0.70683,0.70944,0.70397,0.70806,22940
,USDCHF,11/01/2016 16:00,0.70804,0.70907,0.70092,0.7022,34681
,USDCHF,11/01/2016 20:00,0.70219,0.70469,0.70028,0.70428,18064
,USDCHF,12/01/2016 00:00,0.70427,0.70537,0.70351,0.70424,8937
,USDCHF,12/01/2016 04:00,0.70422,0.7043,0.70119,0.70172,5640
,USDCHF,12/01/2016 08:00,0.70174,0.70312,0.69867,0.70294,20461
,USDCHF,12/01/2016 12:00,0.70294,0.7064,0.70262,0.70476,26277
,USDCHF,12/01/2016 16:00,0.70477,0.70569,0.70028,0.70168,39890
,USDCHF,12/01/2016 20:00,0.70167,0.70329,0.69959,0.70243,22898
,USDCHF,13/01/2016 00:00,0.702,0.70597,0.70192,0.70572,13749
,USDCHF,13/01/2016 04:00,0.70575,0.70716,0.70438,0.70527,9643
,USDCHF,13/01/2016 08:00,0.70527,0.71006,0.7035,0.70837,24487
,USDCHF,13/01/2016 12:00,0.70834,0.71109,0.7076,0.70912,20007
,USDCHF,13/01/2016 16:00,0.7091,0.70985,0.70343,0.70395,33136
,USDCHF,13/01/2016 20:00,0.70395,0.70409,0.69926,0.70108,28425
,USDCHF,14/01/2016 00:00,0.70103,0.7016,0.69915,0.70073,16955
,USDCHF,14/01/2016 04:00,0.70073,0.70136,0.69915,0.70125,10776
,USDCHF,14/01/2016 08:00,0.70124,0.70333,0.697,0.69934,26549
,USDCHF,14/01/2016 12:00,0.69934,0.70108,0.69544,0.69931,33113
,USDCHF,14/01/2016 16:00,0.69932,0.70266,0.69602,0.69949,44517
,USDCHF,14/01/2016 20:00,0.6995,0.70154,0.69888,0.6991,21880
,USDCHF,15/01/2016 00:00,0.6991,0.70085,0.6984,0.69909,8627
,USDCHF,15/01/2016 04:00,0.69912,0.69952,0.69674,0.69779,8559
,USDCHF,15/01/2016 08:00,0.6978,0.69835,0.6891,0.69097,33452
,USDCHF,15/01/2016 12:00,0.69095,0.69374,0.68703,0.68966,33561
,USDCHF,15/01/2016 16:00,0.6897,0.69306,0.68549,0.6881,45359
,USDCHF,15/01/2016 20:00,0.6881,0.68998,0.68606,0.68777,24048
,USDCHF,18/01/2016 00:00,0.68509,0.69101,0.68441,0.69067,12178
,USDCHF,18/01/2016 04:00,0.69065,0.69296,0.68967,0.69157,11859
,USDCHF,18/01/2016 08:00,0.69156,0.69441,0.69017,0.69202,28069
,USDCHF,18/01/2016 12:00,0.69204,0.69344,0.69125,0.69196,26047
,USDCHF,18/01/2016 16:00,0.69196,0.69362,0.69115,0.69148,19195
,USDCHF,18/01/2016 20:00,0.69151,0.69207,0.68871,0.68989,11274
,USDCHF,19/01/2016 00:00,0.69004,0.69274,0.68985,0.69213,10787
,USDCHF,19/01/2016 04:00,0.69201,0.69549,0.69051,0.69526,13136
,USDCHF,19/01/2016 08:00,0.69527,0.69772,0.69502,0.69606,24264
,USDCHF,19/01/2016 12:00,0.69606,0.69742,0.69221,0.69348,26273
,USDCHF,19/01/2016 16:00,0.69347,0.69364,0.68782,0.68893,38775
,USDCHF,19/01/2016 20:00,0.68895,0.68962,0.68672,0.68796,25082
,USDCHF,20/01/2016 00:00,0.68777,0.68938,0.68569,0.6867,13202
,USDCHF,20/01/2016 04:00,0.6867,0.68716,0.68287,0.68377,14216
,USDCHF,20/01/2016 08:00,0.68377,0.6849,0.68019,0.68387,32565
,USDCHF,20/01/2016 12:00,0.68386,0.68643,0.68309,0.68362,30931
,USDCHF,20/01/2016 16:00,0.68368,0.69083,0.68137,0.68697,46182
,USDCHF,20/01/2016 20:00,0.68695,0.69436,0.68669,0.69177,32816
,USDCHF,21/01/2016 00:00,0.69181,0.69593,0.69169,0.69522,13554
,USDCHF,21/01/2016 04:00,0.69522,0.69537,0.69123,0.69151,13566
,USDCHF,21/01/2016 08:00,0.69151,0.69466,0.68872,0.69429,29003
,USDCHF,21/01/2016 12:00,0.69429,0.70386,0.69325,0.70284,35481
,USDCHF,21/01/2016 16:00,0.70284,0.71052,0.69936,0.7068,49037
,USDCHF,21/01/2016 20:00,0.70682,0.70795,0.70203,0.70585,33803
,USDCHF,22/01/2016 00:00,0.70566,0.70681,0.70412,0.70415,12766
,USDCHF,22/01/2016 04:00,0.70415,0.70776,0.70402,0.70771,13533
,USDCHF,22/01/2016 08:00,0.7077,0.71113,0.70691,0.71071,27291
,USDCHF,22/01/2016 12:00,0.71073,0.71723,0.71019,0.7144,31057
,USDCHF,22/01/2016 16:00,0.71437,0.71854,0.71416,0.71717,42627
,USDCHF,22/01/2016 20:00,0.71716,0.71934,0.71692,0.71794,25952
,USDCHF,25/01/2016 00:00,0.71723,0.71898,0.7157,0.71672,11736
,USDCHF,25/01/2016 04:00,0.71672,0.71801,0.71657,0.71674,10827
,USDCHF,25/01/2016 08:00,0.71674,0.71764,0.71209,0.71409,27815
,USDCHF,25/01/2016 12:00,0.71412,0.71683,0.7128,0.71316,30483
,USDCHF,25/01/2016 16:00,0.71317,0.71626,0.71096,0.71326,43451
,USDCHF,25/01/2016 20:00,0.71327,0.71414,0.70835,0.70839,22422
,USDCHF,26/01/2016 00:00,0.70866,0.70977,0.7078,0.70935,12398
,USDCHF,26/01/2016 04:00,0.70932,0.71066,0.70855,0.70893,10306
,USDCHF,26/01/2016 08:00,0.70894,0.71169,0.70656,0.71163,28801
,USDCHF,26/01/2016 12:00,0.71162,0.71862,0.71127,0.71859,35502
,USDCHF,26/01/2016 16:00,0.71857,0.72565,0.71798,0.72449,46065
,USDCHF,26/01/2016 20:00,0.72449,0.72463,0.71979,0.71983,22900
,USDCHF,27/01/2016 00:00,0.71985,0.72197,0.71923,0.71966,10475
,USDCHF,27/01/2016 04:00,0.71966,0.72189,0.71878,0.72129,11899
,USDCHF,27/01/2016 08:00,0.72129,0.72155,0.7175,0.71846,31320
,USDCHF,27/01/2016 12:00,0.71848,0.72392,0.71679,0.71885,36780
,USDCHF,27/01/2016 16:00,0.71885,0.72538,0.71848,0.72377,45509
,USDCHF,27/01/2016 20:00,0.72377,0.7253,0.71603,0.71992,37590
,USDCHF,28/01/2016 00:00,0.71957,0.72064,0.71868,0.72027,14916
,USDCHF,28/01/2016 04:00,0.72026,0.7212,0.71881,0.72062,16115
,USDCHF,28/01/2016 08:00,0.72062,0.72342,0.71957,0.72193,34004
,USDCHF,28/01/2016 12:00,0.72194,0.72235,0.71746,0.72195,38402
,USDCHF,28/01/2016 16:00,0.72194,0.72662,0.71846,0.72179,50232
,USDCHF,28/01/2016 20:00,0.72173,0.72252,0.71979,0.72228,31975
,USDCHF,29/01/2016 00:00,0.72207,0.72242,0.72122,0.72215,13390
,USDCHF,29/01/2016 04:00,0.72217,0.72783,0.72132,0.72569,29536
,USDCHF,29/01/2016 08:00,0.72571,0.72956,0.72512,0.72626,34409
,USDCHF,29/01/2016 12:00,0.72624,0.7295,0.72153,0.72944,40055
,USDCHF,29/01/2016 16:00,0.72942,0.73275,0.72452,0.7282,47669
,USDCHF,29/01/2016 20:00,0.72819,0.73208,0.72754,0.73166,23888
,USDCHF,01/02/2016 00:00,0.73044,0.73317,0.72928,0.72972,14467
,USDCHF,01/02/2016 04:00,0.72976,0.7303,0.72877,0.72974,12947
,USDCHF,01/02/2016 08:00,0.72975,0.72977,0.72592,0.72759,26455
,USDCHF,01/02/2016 12:00,0.72759,0.72852,0.72571,0.72643,33069
,USDCHF,01/02/2016 16:00,0.72647,0.7295,0.72225,0.72771,42217
,USDCHF,01/02/2016 20:00,0.72775,0.73242,0.72758,0.7306,24652
,USDCHF,02/02/2016 00:00,0.73081,0.73151,0.72945,0.73027,11591
,USDCHF,02/02/2016 04:00,0.73025,0.73056,0.7264,0.72759,16954
,USDCHF,02/02/2016 08:00,0.7276,0.72799,0.72516,0.72699,27117
,USDCHF,02/02/2016 12:00,0.72699,0.73013,0.72393,0.72423,30634
,USDCHF,02/02/2016 16:00,0.72425,0.72641,0.72216,0.72575,43108
,USDCHF,02/02/2016 20:00,0.72578,0.7283,0.72423,0.72434,25665
,USDCHF,03/02/2016 00:00,0.72431,0.72526,0.72141,0.72188,15986
,USDCHF,03/02/2016 04:00,0.72188,0.72315,0.72159,0.72284,12092
,USDCHF,03/02/2016 08:00,0.72283,0.72697,0.72205,0.72488,28135
,USDCHF,03/02/2016 12:00,0.72488,0.73208,0.72413,0.73153,40241
,USDCHF,03/02/2016 16:00,0.73153,0.73284,0.72227,0.72671,61121
,USDCHF,03/02/2016 20:00,0.72671,0.73037,0.72305,0.72825,38150
,USDCHF,04/02/2016 00:00,0.72826,0.73214,0.72764,0.73073,20522
,USDCHF,04/02/2016 04:00,0.73073,0.73194,0.72968,0.72992,11153
,USDCHF,04/02/2016 08:00,0.72991,0.73225,0.72846,0.72994,34088
,USDCHF,04/02/2016 12:00,0.72994,0.73391,0.72547,0.72936,48273
,USDCHF,04/02/2016 16:00,0.72933,0.73145,0.7228,0.72489,59679
,USDCHF,04/02/2016 20:00,0.72488,0.72525,0.72118,0.72187,31404
,USDCHF,05/02/2016 00:00,0.7219,0.72342,0.72117,0.72308,12166
,USDCHF,05/02/2016 04:00,0.72307,0.72441,0.72231,0.72425,10663
,USDCHF,05/02/2016 08:00,0.72427,0.72523,0.72191,0.72237,29550
,USDCHF,05/02/2016 12:00,0.72238,0.72337,0.71771,0.72135,38159
,USDCHF,05/02/2016 16:00,0.72137,0.72366,0.71415,0.71474,55091
,USDCHF,05/02/2016 20:00,0.71472,0.71518,0.71132,0.71143,25888
,USDCHF,08/02/2016 00:00,0.71321,0.71542,0.71272,0.71485,16213
,USDCHF,08/02/2016 04:00,0.71482,0.71636,0.71429,0.7155,11346
,USDCHF,08/02/2016 08:00,0.7155,0.71713,0.71258,0.71299,30499
,USDCHF,08/02/2016 12:00,0.713,0.71639,0.71093,0.71367,46511
,USDCHF,08/02/2016 16:00,0.71362,0.71424,0.70569,0.71149,56695
,USDCHF,08/02/2016 20:00,0.7115,0.71187,0.7059,0.70834,33367
,USDCHF,09/02/2016 00:00,0.70833,0.70894,0.70593,0.70654,17370
,USDCHF,09/02/2016 04:00,0.70653,0.70685,0.7042,0.70652,15174
,USDCHF,09/02/2016 08:00,0.70651,0.71057,0.70475,0.70717,37795
,USDCHF,09/02/2016 12:00,0.70715,0.70945,0.69841,0.6994,48983
,USDCHF,09/02/2016 16:00,0.69945,0.70655,0.69906,0.70207,58327
,USDCHF,09/02/2016 20:00,0.70205,0.70229,0.69931,0.70128,36362
,USDCHF,10/02/2016 00:00,0.70103,0.70204,0.69808,0.69914,19600
,USDCHF,10/02/2016 04:00,0.69912,0.69993,0.69813,0.69854,17629
,USDCHF,10/02/2016 08:00,0.69856,0.70394,0.69852,0.7022,37584
,USDCHF,10/02/2016 12:00,0.70222,0.70418,0.70008,0.70208,45869
,USDCHF,10/02/2016 16:00,0.70209,0.70893,0.69715,0.70065,59384
,USDCHF,10/02/2016 20:00,0.70068,0.70087,0.6972,0.69827,33860
,USDCHF,11/02/2016 00:00,0.69881,0.7004,0.69738,0.69788,16626
,USDCHF,11/02/2016 04:00,0.6979,0.69884,0.69557,0.69625,16781
,USDCHF,11/02/2016 08:00,0.69625,0.69775,0.69016,0.69207,39211
,USDCHF,11/02/2016 12:00,0.69204,0.69857,0.69125,0.69527,48242
,USDCHF,11/02/2016 16:00,0.69522,0.70016,0.69401,0.69706,56444
,USDCHF,11/02/2016 20:00,0.69706,0.69915,0.69198,0.6975,42834
,USDCHF,12/02/2016 00:00,0.69734,0.69934,0.69697,0.69926,19225
