id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage
,GBPUSD,25/03/2019 00:00,1.32089,1.32169,1.31833,1.31897,6997,1.31882
,GBPUSD,25/03/2019 04:00,1.31898,1.32001,1.31886,1.31936,6459,1.31860
,GBPUSD,25/03/2019 08:00,1.31935,1.32181,1.31592,1.31750,23988,1.31821
,GBPUSD,25/03/2019 12:00,1.31750,1.32454,1.31625,1.32216,31422,1.31786
,GBPUSD,25/03/2019 16:00,1.32214,1.32446,1.31646,1.31824,28456,1.31745
,GBPUSD,25/03/2019 20:00,1.31824,1.32016,1.31745,1.31939,9120,1.31728
,GBPUSD,26/03/2019 00:00,1.31937,1.32228,1.31865,1.32019,5942,1.31707
,GBPUSD,26/03/2019 04:00,1.32019,1.32030,1.31775,1.31796,6764,1.31713
,GBPUSD,26/03/2019 08:00,1.31795,1.32221,1.31566,1.32017,23041,1.31727
,GBPUSD,26/03/2019 12:00,1.32016,1.32607,1.31895,1.32202,32839,1.31721
,GBPUSD,26/03/2019 16:00,1.32198,1.32394,1.31995,1.32207,24864,1.31710
,GBPUSD,26/03/2019 20:00,1.32207,1.32318,1.31965,1.32044,10128,1.31715
,GBPUSD,27/03/2019 00:00,1.32044,1.32142,1.31821,1.31821,7606,1.31740
,GBPUSD,27/03/2019 04:00,1.31821,1.31897,1.31763,1.31825,7509,1.31760
,GBPUSD,27/03/2019 08:00,1.31824,1.32095,1.31655,1.32052,22266,1.31821
,GBPUSD,27/03/2019 12:00,1.32052,1.32459,1.31956,1.32217,36077,1.31856
,GBPUSD,27/03/2019 16:00,1.32218,1.32462,1.31838,1.32178,38399,1.31892
,GBPUSD,27/03/2019 20:00,1.32178,1.32687,1.31537,1.31578,16872,1.31932
,GBPUSD,28/03/2019 00:00,1.31586,1.31902,1.31417,1.31794,10354,1.31992
,GBPUSD,28/03/2019 04:00,1.31794,1.31977,1.31790,1.31928,7154,1.31980
,GBPUSD,28/03/2019 08:00,1.31928,1.31943,1.31244,1.31361,28111,1.31970
,GBPUSD,28/03/2019 12:00,1.31361,1.31663,1.30735,1.30738,36421,1.31962
,GBPUSD,28/03/2019 16:00,1.30738,1.31087,1.30339,1.30705,33375,1.31935
,GBPUSD,28/03/2019 20:00,1.30704,1.30704,1.30359,1.30447,10426,1.31875
,GBPUSD,29/03/2019 00:00,1.30445,1.30700,1.30441,1.30660,6307,1.31823
,GBPUSD,29/03/2019 04:00,1.30659,1.30754,1.30594,1.30706,6167,1.31734
,GBPUSD,29/03/2019 08:00,1.30707,1.30849,1.30022,1.30207,23382,1.31676
,GBPUSD,29/03/2019 12:00,1.30207,1.31352,1.30155,1.30796,36592,1.31615
,GBPUSD,29/03/2019 16:00,1.30797,1.30806,1.29767,1.29923,34047,1.31524
,GBPUSD,29/03/2019 20:00,1.29923,1.30351,1.29886,1.30280,9024,1.31474
,GBPUSD,01/04/2019 00:00,1.30381,1.30422,1.30050,1.30180,4233,1.31370
,GBPUSD,01/04/2019 04:00,1.30180,1.30430,1.30148,1.30429,7190,1.31279
,GBPUSD,01/04/2019 08:00,1.30429,1.30926,1.30426,1.30889,28875,1.31177
,GBPUSD,01/04/2019 12:00,1.30887,1.31235,1.30798,1.31145,28861,1.31097
,GBPUSD,01/04/2019 16:00,1.31147,1.31491,1.30803,1.31183,28596,1.31050
,GBPUSD,01/04/2019 20:00,1.31183,1.31369,1.31006,1.31013,8063,1.31016
,GBPUSD,02/04/2019 00:00,1.31034,1.31135,1.30274,1.30696,8926,1.30973
,GBPUSD,02/04/2019 04:00,1.30699,1.30746,1.30587,1.30657,10171,1.30913
,GBPUSD,02/04/2019 08:00,1.30655,1.30847,1.30225,1.30416,31472,1.30839
,GBPUSD,02/04/2019 12:00,1.30414,1.30754,1.30126,1.30315,24545,1.30793
,GBPUSD,02/04/2019 16:00,1.30316,1.30803,1.30245,1.30760,30720,1.30724
,GBPUSD,02/04/2019 20:00,1.30755,1.31490,1.30688,1.31270,18628,1.30643
,GBPUSD,03/04/2019 00:00,1.31325,1.31418,1.31224,1.31298,6871,1.30613
,GBPUSD,03/04/2019 04:00,1.31298,1.31457,1.31206,1.31415,8062,1.30642
,GBPUSD,03/04/2019 08:00,1.31415,1.31955,1.31335,1.31718,31061,1.30672
,GBPUSD,03/04/2019 12:00,1.31720,1.31864,1.31526,1.31678,26410,1.30721
,GBPUSD,03/04/2019 16:00,1.31676,1.31847,1.31203,1.31686,27583,1.30774
,GBPUSD,03/04/2019 20:00,1.31686,1.31789,1.31417,1.31551,9790,1.30822
,GBPUSD,04/04/2019 00:00,1.31560,1.31808,1.31520,1.31765,5971,1.30896
,GBPUSD,04/04/2019 04:00,1.31766,1.31777,1.31679,1.31687,5006,1.30934
,GBPUSD,04/04/2019 08:00,1.31687,1.31905,1.31553,1.31622,23664,1.31026
,GBPUSD,04/04/2019 12:00,1.31622,1.31638,1.31239,1.31268,30424,1.31092
,GBPUSD,04/04/2019 16:00,1.31269,1.31289,1.30613,1.30813,30512,1.31164
,GBPUSD,04/04/2019 20:00,1.30814,1.30850,1.30593,1.30738,8550,1.31206
,GBPUSD,05/04/2019 00:00,1.30741,1.30817,1.30663,1.30774,4393,1.31202
,GBPUSD,05/04/2019 04:00,1.30776,1.30981,1.30745,1.30945,5343,1.31182
,GBPUSD,05/04/2019 08:00,1.30947,1.31212,1.30809,1.30809,22744,1.31161
,GBPUSD,05/04/2019 12:00,1.30809,1.30887,1.30255,1.30469,23997,1.31157
,GBPUSD,05/04/2019 16:00,1.30469,1.30518,1.29862,1.30141,24735,1.31163
,GBPUSD,05/04/2019 20:00,1.30140,1.30384,1.30087,1.30326,7197,1.31153
,GBPUSD,08/04/2019 00:00,1.30337,1.30525,1.30215,1.30470,6978,1.31140
,GBPUSD,08/04/2019 04:00,1.30470,1.30711,1.30379,1.30650,5182,1.31141
,GBPUSD,08/04/2019 08:00,1.30650,1.30684,1.30432,1.30541,20061,1.31126
,GBPUSD,08/04/2019 12:00,1.30540,1.30647,1.30415,1.30587,26886,1.31093
,GBPUSD,08/04/2019 16:00,1.30587,1.30680,1.30344,1.30585,22928,1.31055
,GBPUSD,08/04/2019 20:00,1.30586,1.30736,1.30566,1.30573,6594,1.31013
,GBPUSD,09/04/2019 00:00,1.30612,1.30672,1.30475,1.30621,5605,1.30957
,GBPUSD,09/04/2019 04:00,1.30622,1.30806,1.30620,1.30736,5506,1.30903
,GBPUSD,09/04/2019 08:00,1.30736,1.31213,1.30557,1.31084,21176,1.30850
,GBPUSD,09/04/2019 12:00,1.31079,1.31137,1.30423,1.30558,22474,1.30809
,GBPUSD,09/04/2019 16:00,1.30560,1.30667,1.30320,1.30344,25455,1.30775
,GBPUSD,09/04/2019 20:00,1.30344,1.30621,1.30298,1.30484,10301,1.30718
,GBPUSD,10/04/2019 00:00,1.30508,1.30580,1.30370,1.30486,4053,1.30654
,GBPUSD,10/04/2019 04:00,1.30486,1.30624,1.30473,1.30574,5077,1.30616
,GBPUSD,10/04/2019 08:00,1.30574,1.30848,1.30536,1.30644,18636,1.30600
,GBPUSD,10/04/2019 12:00,1.30644,1.31224,1.30627,1.30747,25549,1.30592
,GBPUSD,10/04/2019 16:00,1.30747,1.31150,1.30543,1.31115,26748,1.30585
,GBPUSD,10/04/2019 20:00,1.31115,1.31194,1.30808,1.30866,13897,1.30575
,GBPUSD,11/04/2019 00:00,1.30881,1.31012,1.30793,1.30964,6171,1.30590
,GBPUSD,11/04/2019 04:00,1.30963,1.31075,1.30895,1.31056,5660,1.30611
,GBPUSD,11/04/2019 08:00,1.31056,1.31083,1.30573,1.30784,26261,1.30652
,GBPUSD,11/04/2019 12:00,1.30784,1.30991,1.30641,1.30774,18803,1.30688
,GBPUSD,11/04/2019 16:00,1.30774,1.30948,1.30610,1.30662,27146,1.30704
,GBPUSD,11/04/2019 20:00,1.30661,1.30732,1.30496,1.30509,7851,1.30710
,GBPUSD,12/04/2019 00:00,1.30520,1.30609,1.30498,1.30593,5610,1.30716
,GBPUSD,12/04/2019 04:00,1.30593,1.30801,1.30567,1.30731,6418,1.30713
,GBPUSD,12/04/2019 08:00,1.30730,1.30741,1.30498,1.30696,17388,1.30713
,GBPUSD,12/04/2019 12:00,1.30695,1.31265,1.30629,1.31200,22154,1.30719
,GBPUSD,12/04/2019 16:00,1.31201,1.31322,1.30766,1.30868,23369,1.30723
,GBPUSD,12/04/2019 20:00,1.30868,1.30930,1.30661,1.30696,8240,1.30746
,GBPUSD,15/04/2019 00:00,1.30706,1.30932,1.30668,1.30902,3760,1.30735
,GBPUSD,15/04/2019 04:00,1.30901,1.31019,1.30852,1.30931,6085,1.30743
,GBPUSD,15/04/2019 08:00,1.30931,1.31059,1.30782,1.30987,14349,1.30770
,GBPUSD,15/04/2019 12:00,1.30987,1.31145,1.30910,1.31134,18765,1.30792
,GBPUSD,15/04/2019 16:00,1.31134,1.31184,1.30931,1.31073,19848,1.30817
,GBPUSD,15/04/2019 20:00,1.31074,1.31078,1.30855,1.30966,8161,1.30845
,GBPUSD,16/04/2019 00:00,1.30988,1.31007,1.30862,1.30986,5016,1.30866
,GBPUSD,16/04/2019 04:00,1.30987,1.30993,1.30784,1.30888,4703,1.30878
,GBPUSD,16/04/2019 08:00,1.30888,1.30983,1.30720,1.30875,16356,1.30872
,GBPUSD,16/04/2019 12:00,1.30877,1.30945,1.30474,1.30624,26476,1.30872
,GBPUSD,16/04/2019 16:00,1.30624,1.30731,1.30419,1.30511,28865,1.30868
,GBPUSD,16/04/2019 20:00,1.30510,1.30603,1.30448,1.30455,7198,1.30846
,GBPUSD,17/04/2019 00:00,1.30474,1.30543,1.30315,1.30423,5570,1.30832
,GBPUSD,17/04/2019 04:00,1.30423,1.30600,1.30382,1.30584,4066,1.30817
,GBPUSD,17/04/2019 08:00,1.30584,1.30665,1.30380,1.30409,18305,1.30806
,GBPUSD,17/04/2019 12:00,1.30409,1.30596,1.30318,1.30390,25578,1.30809
,GBPUSD,17/04/2019 16:00,1.30390,1.30546,1.30281,1.30361,24529,1.30800
,GBPUSD,17/04/2019 20:00,1.30363,1.30445,1.30305,1.30386,5309,1.30783
,GBPUSD,18/04/2019 00:00,1.30391,1.30431,1.30305,1.30428,3769,1.30766
,GBPUSD,18/04/2019 04:00,1.30428,1.30453,1.30337,1.30440,4977,1.30725
,GBPUSD,18/04/2019 08:00,1.30440,1.30518,1.30087,1.30208,26536,1.30703
,GBPUSD,18/04/2019 12:00,1.30208,1.30215,1.29919,1.30042,30287,1.30690
,GBPUSD,18/04/2019 16:00,1.30038,1.30209,1.29782,1.29802,23314,1.30656
,GBPUSD,18/04/2019 20:00,1.29800,1.29929,1.29797,1.29867,9516,1.30611
,GBPUSD,19/04/2019 00:00,1.29839,1.29942,1.29804,1.29909,10453,1.30552
,GBPUSD,19/04/2019 04:00,1.29908,1.30014,1.29846,1.30005,37576,1.30487
,GBPUSD,19/04/2019 08:00,1.30004,1.30011,1.29920,1.29987,16838,1.30428
,GBPUSD,19/04/2019 12:00,1.29986,1.30088,1.29924,1.29945,23603,1.30379
,GBPUSD,19/04/2019 16:00,1.29945,1.30049,1.29934,1.29978,22783,1.30329
,GBPUSD,19/04/2019 20:00,1.29978,1.30011,1.29797,1.29809,12918,1.30282
,GBPUSD,22/04/2019 00:00,1.29812,1.29991,1.29812,1.29868,3611,1.30237
,GBPUSD,22/04/2019 04:00,1.29867,1.29971,1.29852,1.29930,4630,1.30197
,GBPUSD,22/04/2019 08:00,1.29930,1.29972,1.29876,1.29897,8979,1.30164
,GBPUSD,22/04/2019 12:00,1.29896,1.29929,1.29776,1.29780,6820,1.30137
,GBPUSD,22/04/2019 16:00,1.29781,1.29899,1.29745,1.29839,13111,1.30111
,GBPUSD,22/04/2019 20:00,1.29839,1.29868,1.29774,1.29785,3563,1.30071
,GBPUSD,23/04/2019 00:00,1.29784,1.29832,1.29744,1.29808,4659,1.30042
,GBPUSD,23/04/2019 04:00,1.29809,1.29896,1.29797,1.29869,3685,1.30012
,GBPUSD,23/04/2019 08:00,1.29869,1.29986,1.29752,1.29909,16696,1.29984
,GBPUSD,23/04/2019 12:00,1.29910,1.30187,1.29526,1.29565,21604,1.29958
,GBPUSD,23/04/2019 16:00,1.29568,1.29639,1.29275,1.29457,24191,1.29932
,GBPUSD,23/04/2019 20:00,1.29457,1.29458,1.29305,1.29363,7529,1.29889
,GBPUSD,24/04/2019 00:00,1.29359,1.29410,1.29275,1.29406,8519,1.29851
,GBPUSD,24/04/2019 04:00,1.29406,1.29424,1.29290,1.29366,8372,1.29817
,GBPUSD,24/04/2019 08:00,1.29365,1.29374,1.29143,1.29329,18166,1.29797
,GBPUSD,24/04/2019 12:00,1.29330,1.29560,1.29268,1.29537,19458,1.29774
,GBPUSD,24/04/2019 16:00,1.29538,1.29628,1.29207,1.29215,24142,1.29745
,GBPUSD,24/04/2019 20:00,1.29214,1.29296,1.28870,1.29003,10410,1.29721
,GBPUSD,25/04/2019 00:00,1.28986,1.29073,1.28931,1.29043,9597,1.29683
,GBPUSD,25/04/2019 04:00,1.29044,1.29159,1.28962,1.29044,6102,1.29635
,GBPUSD,25/04/2019 08:00,1.29042,1.29155,1.28783,1.28879,20761,1.29588
,GBPUSD,25/04/2019 12:00,1.28879,1.28897,1.28650,1.28854,22543,1.29550
,GBPUSD,25/04/2019 16:00,1.28854,1.29138,1.28838,1.29006,20998,1.29500
,GBPUSD,25/04/2019 20:00,1.29006,1.29028,1.28867,1.28965,8292,1.29447
,GBPUSD,26/04/2019 00:00,1.28964,1.28999,1.28846,1.28895,9779,1.29402
,GBPUSD,26/04/2019 04:00,1.28895,1.29057,1.28870,1.29012,7491,1.29361
,GBPUSD,26/04/2019 08:00,1.29012,1.29165,1.28984,1.29085,12447,1.29314
,GBPUSD,26/04/2019 12:00,1.29086,1.29249,1.28741,1.29171,21720,1.29275
,GBPUSD,26/04/2019 16:00,1.29172,1.29429,1.29060,1.29318,29135,1.29239
,GBPUSD,26/04/2019 20:00,1.29318,1.29345,1.29127,1.29144,7889,1.29204
,GBPUSD,29/04/2019 00:00,1.29147,1.29241,1.29074,1.29194,4019,1.29175
,GBPUSD,29/04/2019 04:00,1.29194,1.29390,1.29156,1.29345,5153,1.29154
,GBPUSD,29/04/2019 08:00,1.29345,1.29451,1.29307,1.29428,15683,1.29141
,GBPUSD,29/04/2019 12:00,1.29425,1.29465,1.29034,1.29163,17598,1.29140
,GBPUSD,29/04/2019 16:00,1.29163,1.29359,1.29044,1.29321,19262,1.29141
,GBPUSD,29/04/2019 20:00,1.29321,1.29385,1.29274,1.29321,7587,1.29131
,GBPUSD,30/04/2019 00:00,1.29302,1.29392,1.29204,1.29384,4278,1.29130
,GBPUSD,30/04/2019 04:00,1.29384,1.29439,1.29260,1.29399,7948,1.29118
,GBPUSD,30/04/2019 08:00,1.29399,1.29778,1.29304,1.29716,20035,1.29127
,GBPUSD,30/04/2019 12:00,1.29716,1.30254,1.29716,1.30204,20827,1.29148
,GBPUSD,30/04/2019 16:00,1.30204,1.30484,1.30175,1.30407,25259,1.29181
,GBPUSD,30/04/2019 20:00,1.30407,1.30480,1.30313,1.30314,9898,1.29239
,GBPUSD,01/05/2019 00:00,1.30358,1.30436,1.30283,1.30423,7055,1.29316
,GBPUSD,01/05/2019 04:00,1.30423,1.30458,1.30379,1.30403,4693,1.29391
,GBPUSD,01/05/2019 08:00,1.30402,1.30722,1.30330,1.30595,13366,1.29462
,GBPUSD,01/05/2019 12:00,1.30594,1.30765,1.30572,1.30632,13633,1.29534
,GBPUSD,01/05/2019 16:00,1.30632,1.30929,1.30609,1.30802,13215,1.29619
,GBPUSD,01/05/2019 20:00,1.30802,1.31018,1.30369,1.30490,24116,1.29700
,GBPUSD,02/05/2019 00:00,1.30478,1.30575,1.30383,1.30560,6163,1.29785
,GBPUSD,02/05/2019 04:00,1.30559,1.30596,1.30479,1.30520,7685,1.29851
,GBPUSD,02/05/2019 08:00,1.30520,1.30800,1.30377,1.30546,17311,1.29913
,GBPUSD,02/05/2019 12:00,1.30547,1.30785,1.30241,1.30412,25362,1.29981
,GBPUSD,02/05/2019 16:00,1.30412,1.30507,1.30174,1.30236,21292,1.30049
,GBPUSD,02/05/2019 20:00,1.30238,1.30358,1.30176,1.30312,7472,1.30102
,GBPUSD,03/05/2019 00:00,1.30312,1.30388,1.30180,1.30385,5216,1.30143
,GBPUSD,03/05/2019 04:00,1.30385,1.30429,1.30324,1.30332,5216,1.30201
,GBPUSD,03/05/2019 08:00,1.30332,1.30383,1.30146,1.30174,17332,1.30254
,GBPUSD,03/05/2019 12:00,1.30174,1.30315,1.29877,1.30297,20684,1.30305
,GBPUSD,03/05/2019 16:00,1.30299,1.31760,1.30175,1.31468,30560,1.30345
,GBPUSD,03/05/2019 20:00,1.31468,1.31762,1.31457,1.31728,12343,1.30390
,GBPUSD,06/05/2019 00:00,1.31434,1.31700,1.31375,1.31457,8815,1.30477
,GBPUSD,06/05/2019 04:00,1.31457,1.31493,1.31173,1.31192,9886,1.30539
,GBPUSD,06/05/2019 08:00,1.31192,1.31260,1.31056,1.31066,18875,1.30591
,GBPUSD,06/05/2019 12:00,1.31065,1.31186,1.30819,1.30872,23030,1.30633
,GBPUSD,06/05/2019 16:00,1.30870,1.31005,1.30805,1.30976,22577,1.30665
,GBPUSD,06/05/2019 20:00,1.30975,1.31048,1.30927,1.30951,7078,1.30689
,GBPUSD,07/05/2019 00:00,1.30941,1.31090,1.30861,1.31040,6507,1.30708
,GBPUSD,07/05/2019 04:00,1.31040,1.31311,1.31029,1.31224,7605,1.30723
,GBPUSD,07/05/2019 08:00,1.31224,1.31302,1.30845,1.30944,22770,1.30735
,GBPUSD,07/05/2019 12:00,1.30944,1.31012,1.30509,1.30509,17239,1.30772
,GBPUSD,07/05/2019 16:00,1.30510,1.30603,1.30389,1.30570,23052,1.30791
,GBPUSD,07/05/2019 20:00,1.30570,1.30761,1.30509,1.30746,9868,1.30791
,GBPUSD,08/05/2019 00:00,1.30732,1.30772,1.30593,1.30735,6628,1.30792
,GBPUSD,08/05/2019 04:00,1.30735,1.30797,1.30664,1.30727,9594,1.30808
,GBPUSD,08/05/2019 08:00,1.30727,1.30779,1.30338,1.30415,20034,1.30833
,GBPUSD,08/05/2019 12:00,1.30415,1.30453,1.30003,1.30056,27967,1.30854
,GBPUSD,08/05/2019 16:00,1.30056,1.30270,1.29863,1.30050,33733,1.30855
,GBPUSD,08/05/2019 20:00,1.30049,1.30107,1.29979,1.30045,7554,1.30841
,GBPUSD,09/05/2019 00:00,1.30063,1.30138,1.29832,1.30116,8707,1.30835
,GBPUSD,09/05/2019 04:00,1.30116,1.30138,1.30030,1.30119,6471,1.30823
,GBPUSD,09/05/2019 08:00,1.30120,1.30249,1.29744,1.29905,17494,1.30756
,GBPUSD,09/05/2019 12:00,1.29906,1.30048,1.29773,1.29898,20139,1.30690
,GBPUSD,09/05/2019 16:00,1.29898,1.30232,1.29667,1.30205,31862,1.30613
,GBPUSD,09/05/2019 20:00,1.30205,1.30353,1.30013,1.30090,8895,1.30548
,GBPUSD,10/05/2019 00:00,1.30031,1.30182,1.29996,1.30080,11589,1.30505
,GBPUSD,10/05/2019 04:00,1.30080,1.30196,1.30049,1.30050,9958,1.30463
,GBPUSD,10/05/2019 08:00,1.30051,1.30252,1.29906,1.30063,17042,1.30418
,GBPUSD,10/05/2019 12:00,1.30063,1.30263,1.30043,1.30245,19139,1.30374
,GBPUSD,10/05/2019 16:00,1.30245,1.30469,1.30144,1.30259,25299,1.30325
,GBPUSD,10/05/2019 20:00,1.30256,1.30288,1.29980,1.30017,7601,1.30276
,GBPUSD,13/05/2019 00:00,1.29923,1.30109,1.29922,1.30074,6264,1.30241
,GBPUSD,13/05/2019 04:00,1.30074,1.30139,1.30041,1.30073,4440,1.30212
,GBPUSD,13/05/2019 08:00,1.30074,1.30160,1.29968,1.30081,12877,1.30187
,GBPUSD,13/05/2019 12:00,1.30081,1.30366,1.30034,1.30315,19199,1.30154
,GBPUSD,13/05/2019 16:00,1.30315,1.30400,1.29404,1.29469,27616,1.30122
,GBPUSD,13/05/2019 20:00,1.29469,1.29695,1.29416,1.29561,9032,1.30101
,GBPUSD,14/05/2019 00:00,1.29580,1.29695,1.29418,1.29658,7995,1.30054
,GBPUSD,14/05/2019 04:00,1.29658,1.29665,1.29563,1.29580,7340,1.30030
,GBPUSD,14/05/2019 08:00,1.29580,1.29603,1.29224,1.29481,14126,1.30010
,GBPUSD,14/05/2019 12:00,1.29481,1.29635,1.29217,1.29280,16481,1.29986
,GBPUSD,14/05/2019 16:00,1.29280,1.29282,1.29063,1.29157,20048,1.29955
,GBPUSD,14/05/2019 20:00,1.29157,1.29165,1.29029,1.29033,7260,1.29913
,GBPUSD,15/05/2019 00:00,1.29032,1.29111,1.29028,1.29108,9698,1.29875
,GBPUSD,15/05/2019 04:00,1.29108,1.29131,1.29056,1.29120,5929,1.29832
,GBPUSD,15/05/2019 08:00,1.29120,1.29226,1.28979,1.29131,11222,1.29777
,GBPUSD,15/05/2019 12:00,1.29128,1.29185,1.28512,1.28574,20075,1.29731
,GBPUSD,15/05/2019 16:00,1.28575,1.28791,1.28256,1.28632,28235,1.29684
,GBPUSD,15/05/2019 20:00,1.28633,1.28636,1.28362,1.28419,6516,1.29610
,GBPUSD,16/05/2019 00:00,1.28410,1.28491,1.28400,1.28462,6418,1.29538
,GBPUSD,16/05/2019 04:00,1.28463,1.28516,1.28419,1.28499,6413,1.29447
,GBPUSD,16/05/2019 08:00,1.28499,1.28513,1.28202,1.28354,13066,1.29357
,GBPUSD,16/05/2019 12:00,1.28354,1.28427,1.27940,1.27954,18183,1.29286
,GBPUSD,16/05/2019 16:00,1.27955,1.28102,1.27868,1.27949,16531,1.29200
,GBPUSD,16/05/2019 20:00,1.27949,1.28049,1.27876,1.27955,7244,1.29094
,GBPUSD,17/05/2019 00:00,1.27951,1.27974,1.27816,1.27842,5273,1.28987
,GBPUSD,17/05/2019 04:00,1.27842,1.27950,1.27835,1.27911,6360,1.28869
,GBPUSD,17/05/2019 08:00,1.27911,1.27930,1.27745,1.27817,13830,1.28788
,GBPUSD,17/05/2019 12:00,1.27818,1.27822,1.27359,1.27515,22295,1.28704
,GBPUSD,17/05/2019 16:00,1.27513,1.27596,1.27185,1.27299,22939,1.28612
,GBPUSD,17/05/2019 20:00,1.27299,1.27318,1.27122,1.27122,8853,1.28509
,GBPUSD,20/05/2019 00:00,1.27287,1.27383,1.27236,1.27380,5672,1.28400
,GBPUSD,20/05/2019 04:00,1.27379,1.27413,1.27288,1.27334,6764,1.28300
,GBPUSD,20/05/2019 08:00,1.27334,1.27566,1.27246,1.27445,14217,1.28211
,GBPUSD,20/05/2019 12:00,1.27444,1.27546,1.27343,1.27351,14685,1.28126
,GBPUSD,20/05/2019 16:00,1.27351,1.27435,1.27139,1.27220,18505,1.28043
,GBPUSD,20/05/2019 20:00,1.27221,1.27281,1.27188,1.27229,4903,1.27955
,GBPUSD,21/05/2019 00:00,1.27214,1.27316,1.27191,1.27265,5312,1.27859
,GBPUSD,21/05/2019 04:00,1.27264,1.27311,1.27221,1.27226,6255,1.27791
,GBPUSD,21/05/2019 08:00,1.27226,1.27241,1.26845,1.26943,17763,1.27723
,GBPUSD,21/05/2019 12:00,1.26944,1.27447,1.26845,1.27363,21148,1.27664
