id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,07/10/2019 16:30,225.73,229.25,225.71,228.42,39240,220.742,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,07/10/2019 20:30,228.42,229.62,226.29,226.9,28849,221.2195,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,08/10/2019 16:30,225.99,227.17,224.76,226.65,62793,221.641,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,08/10/2019 20:30,226.66,227.75,224.1,224.4,32728,222.127,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,09/10/2019 16:30,226.51,227.2,225.34,226.49,45195,222.4705,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,09/10/2019 20:30,226.5,227.48,226.31,226.65,16036,222.8095,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,10/10/2019 16:30,227.23,230.13,227.22,229.42,43381,223.092,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,10/10/2019 20:30,229.42,229.99,228,229.86,23056,223.5885,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,11/10/2019 16:30,232.83,234.98,232.35,234.5,42882,224.111,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,11/10/2019 20:30,234.5,237.32,234.3,236.14,26159,224.9345,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,14/10/2019 16:30,236.1,237.83,234.96,236.23,36779,225.8135,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,14/10/2019 20:30,236.23,236.57,235.36,235.64,11420,226.4415,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,15/10/2019 16:30,236.28,237.32,234.58,235.31,38519,227.047,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,15/10/2019 20:30,235.32,235.86,234.72,235.02,11363,227.569,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,16/10/2019 16:30,233.71,234.93,233.29,233.43,34637,228.1135,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,16/10/2019 20:30,233.44,234.13,233.32,234.13,10519,228.8435,2019_11_08-AppleEarnings-Q32019-OCT,4h
,AAPL,17/10/2019 16:30,235.13,235.82,233.22,234.27,41625,229.6135,2019_11_08-AppleEarnings-Q32019-OCT,4h
