id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,01/05/2019 00:00,209.66,215,208.93,210.51,60302,200.647,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,02/05/2019 00:00,209.32,212.34,207.85,208.62,53223,201.4655,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,03/05/2019 00:00,210.66,211.5,209.93,211.43,29338,202.146,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,06/05/2019 00:00,204.17,208.53,204.13,208.13,45025,202.9545,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,07/05/2019 00:00,206.58,207.09,200.52,202.35,74031,203.5275,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,08/05/2019 00:00,202.61,205.01,201.45,202.7,52147,203.6585,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,09/05/2019 00:00,199.92,201.36,196.36,200.11,73045,203.8385,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,10/05/2019 00:00,198.12,198.54,192.47,196.63,76182,203.835,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,13/05/2019 00:00,187.91,189.13,184.4,185.32,86313,203.7395,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,14/05/2019 00:00,185.54,189.4,185.12,188.51,50884,203.0855,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,15/05/2019 00:00,186.34,191.44,186.34,190.56,47385,202.576,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,16/05/2019 00:00,189.13,192.16,188.53,189.66,47925,202.1465,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,17/05/2019 00:00,186.96,190.58,186.5,188.87,57920,201.4915,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,20/05/2019 00:00,183.55,184.04,179.98,182.81,62956,200.753,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,21/05/2019 00:00,185.05,187.69,184.87,186.35,40917,199.685,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,22/05/2019 00:00,184.73,185.39,182.25,182.36,43715,198.6545,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,23/05/2019 00:00,179.19,180.23,177.5,179.38,62542,197.419,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,24/05/2019 00:00,180.05,181.82,178.41,178.45,44823,196.1435,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,28/05/2019 00:00,179.53,180.28,177.61,178.37,42684,194.877,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,29/05/2019 00:00,176.02,179.04,175.95,177.38,55234,193.582,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,30/05/2019 00:00,178.13,178.93,176.36,177.86,37190,192.425,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,31/05/2019 00:00,176.45,177.68,174.75,174.93,46800,190.7925,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,03/06/2019 00:00,176.06,177.6,169.98,172.96,77735,189.108,2019_11_09-AppleEarnings-Q22019-JUL,daily
,AAPL,04/06/2019 00:00,175.32,179.51,174.22,179.46,47558,187.1845,2019_11_09-AppleEarnings-Q22019-JUL,daily
