id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,10/01/2019 20:30,152.49,153.66,152.04,153.49,18174,151.798,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,11/01/2019 16:30,152.81,153.36,151.36,151.54,26455,151.914,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,11/01/2019 20:30,151.53,152.28,151.21,151.85,10032,151.652,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,14/01/2019 16:30,150.85,150.89,148.91,149.74,26042,151.7,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,14/01/2019 20:30,149.73,149.96,149.17,149.55,8326,151.4155,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,15/01/2019 16:30,149.99,152.7,149.83,152.48,26546,151.1235,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,15/01/2019 20:30,152.47,153.07,151.53,152.78,13400,150.9395,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,16/01/2019 16:30,153.36,155.57,153.36,154.67,26189,150.6755,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,16/01/2019 20:30,154.67,155.1,154.29,154.62,11258,150.507,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,17/01/2019 16:30,153.73,154.55,152.96,154.36,23798,150.36,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,17/01/2019 20:30,154.37,157.34,153.75,155.34,21485,150.8815,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,18/01/2019 16:30,156.69,157.52,155.91,156.97,28629,151.558,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,18/01/2019 20:30,156.98,157.16,155.68,156.53,12092,151.9995,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,22/01/2019 16:30,156.15,156.34,153.64,153.99,28407,152.4315,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,22/01/2019 20:30,153.98,154.41,152.32,153.23,19618,152.784,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,23/01/2019 16:30,153.86,154.83,151.4,152.53,31891,153.066,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,23/01/2019 20:30,152.54,153.66,152.36,153.65,15709,153.154,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,24/01/2019 16:30,153.91,154.17,151.57,151.98,26292,153.316,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,24/01/2019 20:30,151.98,152.43,151.43,152.31,9862,153.241,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,25/01/2019 16:30,154.65,156.94,154.01,156.84,22483,153.205,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,25/01/2019 20:30,156.84,157.82,156.83,157.39,11083,153.4225,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,28/01/2019 16:30,154.79,155.51,153.36,155.27,25994,153.6175,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,28/01/2019 20:30,155.27,155.98,155.23,155.98,10824,153.804,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,29/01/2019 16:30,155.93,157.82,154.94,155.81,23764,154.0105,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,29/01/2019 20:30,155.82,156.08,153.81,154.35,11648,154.314,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,30/01/2019 16:30,162.28,162.94,159.94,162.64,31970,154.554,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,30/01/2019 20:30,162.65,165.82,162.48,165.01,22036,155.062,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,31/01/2019 16:30,165.39,168.69,164.26,166.78,30232,155.6735,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,31/01/2019 20:30,166.8,167.23,165.94,166.39,12742,156.279,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,01/02/2019 16:30,166.82,168.68,166.07,166.41,30289,156.8675,2019_11_11-AppleEarnings-Q12019-JAN,4h
,AAPL,01/02/2019 20:30,166.41,166.76,165.63,166.26,13937,157.47,2019_11_11-AppleEarnings-Q12019-JAN,4h
