id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,AAPL,01/08/2019 00:00,214.51,217.72,206.42,207.96,95616,205.1165,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,02/08/2019 00:00,205.08,206.12,201.32,203.33,90500,205.3215,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,05/08/2019 00:00,197.62,198.31,192.27,192.96,102599,205.307,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,06/08/2019 00:00,196.63,197.74,193.73,196.63,82780,204.979,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,07/08/2019 00:00,195.26,199.24,193.52,199.24,102475,204.7575,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,08/08/2019 00:00,200.12,203.06,199.1,203.06,51862,204.58,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/08/2019 00:00,201.43,202.45,198.99,200.63,66385,204.656,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,12/08/2019 00:00,200.18,201.75,198.84,200.36,56898,204.5425,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,13/08/2019 00:00,201.45,211.8,200.98,208.67,76821,204.3315,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,14/08/2019 00:00,203.92,206.13,202.28,202.5,89272,204.5675,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,15/08/2019 00:00,204.02,204.79,199.37,201.52,90211,204.534,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,16/08/2019 00:00,204.42,206.85,203.54,206.38,41907,204.3525,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,19/08/2019 00:00,210.06,212.42,209.72,210.15,33364,204.5625,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,20/08/2019 00:00,210.9,213.03,210.19,210.26,41211,204.728,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,21/08/2019 00:00,212.29,213.34,211.3,212.35,33907,204.8305,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,22/08/2019 00:00,213.06,214.13,210.45,212.3,44264,205.045,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,23/08/2019 00:00,209.46,211.74,201.55,202.05,98403,205.337,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,26/08/2019 00:00,205.7,206.87,204.75,205.69,51767,205.0555,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,27/08/2019 00:00,207.75,207.84,203.23,203.95,50648,204.865,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,28/08/2019 00:00,204.11,205.4,203.01,205.1,41350,204.651,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,29/08/2019 00:00,208.52,209,206.32,208.56,35174,204.2545,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,30/08/2019 00:00,209.73,209.78,206.9,207.92,50610,204.2845,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,03/09/2019 00:00,206.04,206.67,203.91,205.33,52706,204.514,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,04/09/2019 00:00,208.16,209.17,207.02,208.9,35247,205.1325,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,05/09/2019 00:00,211.92,213.65,211.21,212.74,39253,205.746,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,06/09/2019 00:00,213.97,214.1,212.2,212.97,46838,206.421,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,09/09/2019 00:00,214.38,216.13,213.53,213.93,51815,206.9165,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,10/09/2019 00:00,214,215.96,211.4,215.96,74768,207.5815,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,11/09/2019 00:00,217.83,223.22,217.73,223.09,53458,208.3615,2019_11_08-AppleEarnings-Q32019-OCT,daily
,AAPL,12/09/2019 00:00,224.09,226.06,222.56,222.84,50754,209.0825,2019_11_08-AppleEarnings-Q32019-OCT,daily
