id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name,TimeFrame
,USNDAQ100,10/05/2018 00:00,6914.7,6969.57,6896.9,6961.72,84300,6709.055714,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,11/05/2018 00:00,6961.25,6975.6,6924.42,6950.12,71126,6722.831905,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,14/05/2018 00:00,6982.55,7010.8,6955.32,6963.52,47345,6738.67,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,15/05/2018 00:00,6949.05,6963.4,6851.42,6888.52,82907,6748.510476,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,16/05/2018 00:00,6883.9,6947.42,6876.45,6927.12,55382,6753.534286,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,17/05/2018 00:00,6911.4,6955.8,6868.62,6904.82,62497,6756.691429,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,18/05/2018 00:00,6921.4,6929.55,6856.6,6871.62,88012,6761.267619,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,21/05/2018 00:00,6917.15,6952.2,6877,6906.87,61447,6772.817619,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,22/05/2018 00:00,6910.7,6950.4,6885.52,6899.02,70851,6784.650952,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,23/05/2018 00:00,6872.4,6954.02,6826,6953.82,104013,6806.129524,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,24/05/2018 00:00,6937.9,6969.75,6881.8,6947.47,95260,6826.855714,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,25/05/2018 00:00,6980.1,6986,6938.95,6961.22,80325,6841.403333,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,28/05/2018 00:00,7002,7002.25,6968.2,6990.47,24112,6856.803333,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,29/05/2018 00:00,6971.45,6971.55,6888.12,6931.82,149211,6871.889048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,30/05/2018 00:00,6941.8,6992.02,6940.05,6983.32,94805,6886.09381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,31/05/2018 00:00,6985,7021.9,6956.9,6973.72,78965,6901.722381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,01/06/2018 00:00,6986.45,7088.82,6985.4,7081.12,77258,6922.908095,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,04/06/2018 00:00,7104.05,7150.92,7099.2,7146.42,68299,6941.231905,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,05/06/2018 00:00,7145.25,7184.6,7138.35,7169.12,69568,6957.717619,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,06/06/2018 00:00,7199,7212.07,7142.5,7210.52,70057,6976.831905,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,07/06/2018 00:00,7223.25,7233.55,7116.32,7152.82,98394,6989.29381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,08/06/2018 00:00,7131.65,7162.72,7078.2,7153.52,68216,6998.427143,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,11/06/2018 00:00,7135.95,7190.22,7135.6,7174.02,55924,7009.089048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,12/06/2018 00:00,7177.1,7218.65,7160.4,7213.62,59306,7020.998571,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,13/06/2018 00:00,7224.45,7267.3,7195.65,7207.82,67690,7036.203333,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,14/06/2018 00:00,7188.85,7296.85,7181.45,7284.27,76138,7053.210476,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,15/06/2018 00:00,7291.8,7292.55,7221.9,7256.42,90433,7069.953333,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,18/06/2018 00:00,7216.7,7258.8,7186.5,7252.82,66917,7088.105714,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,19/06/2018 00:00,7162.2,7231.42,7135.9,7229.27,114141,7103.458095,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,20/06/2018 00:00,7246.2,7313.62,7239.05,7284.52,86993,7121.815238,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,21/06/2018 00:00,7319.15,7319.15,7204.07,7217.32,124119,7134.362857,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,22/06/2018 00:00,7221.95,7252.3,7176.9,7199.02,88317,7146.341429,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,25/06/2018 00:00,7156.9,7171.8,6975.22,7042.72,142172,7150.222381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,26/06/2018 00:00,7055.65,7110.67,7038.25,7068.57,120212,7153.941429,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,27/06/2018 00:00,7061.55,7132.6,6975.62,6976.92,169305,7156.089048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,28/06/2018 00:00,6981.7,7057.17,6937.8,7033.82,150174,7158.49381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,29/06/2018 00:00,7073.25,7104.7,7047.72,7050.87,112000,7162.167619,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,02/07/2018 00:00,7015.3,7096.42,6969.9,7096.42,121260,7162.89619,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,03/07/2018 00:00,7106.6,7147.5,7004.82,7005.27,86123,7156.174762,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,04/07/2018 00:00,7020.45,7035.7,7007.7,7025.22,24009,7149.322381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,05/07/2018 00:00,7015.35,7108.52,7006.35,7105.17,111296,7144.305714,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,06/07/2018 00:00,7135.8,7219.57,7087.4,7212.22,97553,7147.134286,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,09/07/2018 00:00,7239.55,7275.92,7223.4,7275.92,69862,7152.962857,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,10/07/2018 00:00,7298.5,7309.6,7259.12,7284.62,75064,7158.229524,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,11/07/2018 00:00,7212.3,7272.85,7197.05,7245.55,103980,7159.75,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,12/07/2018 00:00,7273.2,7369.22,7249.2,7368.02,82984,7167.378571,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,13/07/2018 00:00,7393.35,7396.45,7351.6,7379.12,74516,7171.895238,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,16/07/2018 00:00,7380.6,7394.9,7348.12,7357.12,75116,7176.690476,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,17/07/2018 00:00,7292.45,7419.72,7277.9,7406.37,85352,7184.002381,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,18/07/2018 00:00,7404.65,7411.65,7365.6,7382.72,79156,7191.309524,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,19/07/2018 00:00,7384.57,7399.9,7338.02,7351.52,106738,7194.5,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,20/07/2018 00:00,7366.6,7397.8,7334.7,7349.5,113603,7200.794286,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,23/07/2018 00:00,7356.92,7416.82,7296.6,7406.6,91255,7210.679048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,24/07/2018 00:00,7403.47,7474.6,7371.32,7394.7,116620,7227.44,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,25/07/2018 00:00,7396.52,7516.37,7381.85,7469.42,103978,7246.528095,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,26/07/2018 00:00,7392.9,7433.75,7349.3,7411.27,122180,7267.211429,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,27/07/2018 00:00,7420.27,7455,7250.95,7288.7,142303,7279.348571,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,30/07/2018 00:00,7285.57,7298.7,7156.07,7196.32,151402,7286.274762,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,31/07/2018 00:00,7199.32,7285.07,7179.3,7283.57,132457,7295.186667,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,01/08/2018 00:00,7281.72,7294.3,7230.85,7275.8,135647,7308.069048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,02/08/2018 00:00,7279.8,7384.57,7205,7383.07,130368,7325.109524,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,03/08/2018 00:00,7378.2,7405.2,7352.1,7396,112553,7338.958571,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,06/08/2018 00:00,7402.47,7439.52,7378.2,7434.87,82384,7349.560952,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,07/08/2018 00:00,7432.17,7477.3,7430.25,7469.67,82488,7358.787143,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,08/08/2018 00:00,7464.57,7486.2,7433.2,7452.4,84142,7366.776667,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,09/08/2018 00:00,7454.55,7496.02,7449.6,7461.52,77186,7377.060952,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,10/08/2018 00:00,7459.8,7460.47,7379.22,7420.4,119555,7379.555238,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,13/08/2018 00:00,7403.2,7468.9,7368.85,7406.92,135012,7380.879048,2019_11_06-BullFlagAndBreakoutTrend,daily
,USNDAQ100,14/08/2018 00:00,7410.47,7454.5,7387.5,7451.37,108108,7385.367143,2019_11_06-BullFlagAndBreakoutTrend,daily
