id,Symbol,date,Open,High,Low,Close,Volume,MovingAverage,Name
,UA,11/04/2019 09:30,16.01,16.53,16.01,16.12,1870,18.68,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 09:35,16.11,16.27,16.01,16.02,624,18.54,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 09:40,16,16.11,15.59,16.08,705,18.41,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 09:45,16.06,16.28,16.05,16.22,450,18.28,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 09:50,16.23,16.34,16.22,16.29,550,18.15,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 09:55,16.29,16.53,16.29,16.48,580,18.04,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:00,16.48,16.49,16.28,16.39,400,17.92,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:05,16.37,16.41,16.2,16.2,270,17.79,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:10,16.16,16.18,16.1,16.16,311,17.66,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:15,16.1,16.25,16.1,16.21,250,17.53,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:20,16.21,16.3,16.2,16.28,450,17.41,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:25,16.26,16.26,16.17,16.2,200,17.27,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:30,16.23,16.23,16.04,16.05,328,17.14,2019_11_04_EarningsAndSECScandal
,UA,11/04/2019 10:35,16.18,16.18,16.06,16.14,300,17,2019_11_04_EarningsAndSECScandal
