id,symbol,date,revenue
,AAPL,2019 Q3,20227.00
,AAPL,2019 Q2,21821.00
,AAPL,2018 Q1,32031.00
,AAPL,2018 Q4,24084.00
,AAPL,2018 Q3,20421.00
,AAPL,2018 Q2,23422.00
,AAPL,2017 Q1,33912.00
,AAPL,2017 Q4,19931.00
,AAPL,2017 Q3,17488.00
,AAPL,2017 Q2,20591.00
,AAPL,2016 Q1,30176.00
,AAPL,2016 Q4,17813.00
,AAPL,2016 Q3,16106.00
,AAPL,2016 Q2,19921.00
,AAPL,2015 Q1,30423.00
,AAPL,2015 Q4,20548.00
,AAPL,2015 Q3,19681.00
,AAPL,2015 Q2,23656.00
,AAPL,2014 Q1,29741.00
,AAPL,2014 Q4,16009.00
,AAPL,2014 Q3,14735.00
,AAPL,2014 Q2,17947.00
,AAPL,2013 Q1,21846.00
,AAPL,2013 Q4,13871.00
,AAPL,2013 Q3,13024.00
,AAPL,2013 Q2,16349.00
,AAPL,2012 Q1,21060.00
,AAPL,2012 Q4,14401.00
,AAPL,2012 Q3,14994.00
,AAPL,2012 Q2,18564.00
,AAPL,2011 Q1,20703.00
,AAPL,2011 Q4,11380.00
,AAPL,2011 Q3,11922.00
,AAPL,2011 Q2,10218.00
,AAPL,2010 Q1,10298.00
,AAPL,2010 Q4,7512.00
,AAPL,2010 Q3,6136.00
,AAPL,2010 Q2,5625.00
,AAPL,2009 Q1,6411.00
,AAPL,2009 Q4,5105.00
,AAPL,2009 Q3,3983.00
,AAPL,2009 Q2,3627.00
,AAPL,2008 Q1,4507.00
,AAPL,2008 Q4,4791.00
,AAPL,2008 Q3,2600.00
,AAPL,2008 Q2,2474.00
,AAPL,2007 Q1,3332.00
,AAPL,2007 Q4,2088.00
,AAPL,2007 Q3,1995.00
,AAPL,2007 Q2,1849.00
,AAPL,2006 Q1,2220.00
,AAPL,2006 Q4,1412.00
,AAPL,2006 Q3,1325.00
,AAPL,2006 Q2,1297.00
,AAPL,2005 Q1,1564.00
,AAPL,2005 Q4,1034.00
,AAPL,2005 Q3,1044.00
,AAPL,2005 Q2,968.00
,MSFT,2019 Q4,23305.00
,MSFT,2019 Q3,20401.00
,MSFT,2018 Q2,20048.00
,MSFT,2018 Q1,19179.00
,MSFT,2018 Q4,20343.00
,MSFT,2018 Q3,17550.00
,MSFT,2017 Q2,17854.00
,MSFT,2017 Q1,16260.00
,MSFT,2017 Q4,17149.00
,MSFT,2017 Q3,15152.00
,MSFT,2016 Q2,15925.00
,MSFT,2016 Q1,14084.00
,MSFT,2016 Q4,18469.00
,MSFT,2016 Q3,12809.00
,MSFT,2015 Q2,13924.00
,MSFT,2015 Q1,13172.00
,MSFT,2015 Q4,14712.00
,MSFT,2015 Q3,14568.00
,MSFT,2014 Q2,16334.00
,MSFT,2014 Q1,14928.00
,MSFT,2014 Q4,15749.00
,MSFT,2014 Q3,14425.00
,MSFT,2013 Q2,16197.00
,MSFT,2013 Q1,13384.00
,MSFT,2013 Q4,14158.00
,MSFT,2013 Q3,15702.00
,MSFT,2012 Q2,15764.00
,MSFT,2012 Q1,11840.00
,MSFT,2012 Q4,13896.00
,MSFT,2012 Q3,13455.00
,MSFT,2011 Q2,15247.00
,MSFT,2011 Q1,13595.00
,MSFT,2011 Q4,13659.00
,MSFT,2011 Q3,12531.00
,MSFT,2010 Q2,15120.00
,MSFT,2010 Q1,13056.00
,MSFT,2010 Q4,12869.00
,MSFT,2010 Q3,11748.00
,MSFT,2009 Q2,15394.00
,MSFT,2009 Q1,10078.00
,MSFT,2009 Q4,10513.00
,MSFT,2009 Q3,10834.00
,MSFT,2008 Q2,12722.00
,MSFT,2008 Q1,12213.00
,MSFT,2008 Q4,12971.00
,MSFT,2008 Q3,11940.00
,MSFT,2007 Q2,12824.00
,MSFT,2007 Q1,11087.00
,MSFT,2007 Q4,10134.00
,MSFT,2007 Q3,12258.00
,MSFT,2006 Q2,8922.00
,MSFT,2006 Q1,9115.00
,MSFT,2006 Q4,9674.00
,MSFT,2006 Q3,8872.00
,MSFT,2005 Q2,9598.00
,MSFT,2005 Q1,8488.00
,MSFT,2005 Q4,8773.00
,MSFT,2005 Q3,8257.00
,HPQ,2019 Q3,2905.00
,HPQ,2019 Q2,2729.00
,HPQ,2019 Q1,2612.00
,HPQ,2018 Q4,2697.00
,HPQ,2018 Q3,2688.00
,HPQ,2018 Q2,2702.00
,HPQ,2018 Q1,2582.00
,HPQ,2017 Q4,2520.00
,HPQ,2017 Q3,2427.00
,HPQ,2017 Q2,2383.00
,HPQ,2017 Q1,2248.00
,HPQ,2016 Q4,2291.00
,HPQ,2016 Q3,2172.00
,HPQ,2016 Q2,2250.00
,HPQ,2016 Q1,2285.00
,HPQ,2015 Q4,6351.00
,HPQ,2015 Q3,2326.00
,HPQ,2015 Q2,2562.00
,HPQ,2015 Q1,2685.00
,HPQ,2014 Q4,-8414.00
,HPQ,2014 Q3,6611.00
,HPQ,2014 Q2,6605.00
,HPQ,2014 Q1,6418.00
,HPQ,2013 Q4,6694.00
,HPQ,2013 Q3,6367.00
,HPQ,2013 Q2,6527.00
