id,symbol,date,revenue
,AAPL,03/30/2005,1564
,AAPL,06/30/2005,968
,AAPL,09/30/2005,1044
,AAPL,12/30/2005,1034
,AAPL,03/30/2006,2220
,AAPL,06/30/2006,1297
,AAPL,09/30/2006,1325
,AAPL,12/30/2006,1412
,AAPL,03/30/2007,3332
,AAPL,06/30/2007,1849
,AAPL,09/30/2007,1995
,AAPL,12/30/2007,2088
,AAPL,03/30/2008,4507
,AAPL,06/30/2008,2474
,AAPL,09/30/2008,2600
,AAPL,12/30/2008,4791
,AAPL,03/30/2009,6411
,AAPL,06/30/2009,3627
,AAPL,09/30/2009,3983
,AAPL,12/30/2009,5105
,AAPL,03/30/2010,10298
,AAPL,06/30/2010,5625
,AAPL,09/30/2010,6136
,AAPL,12/30/2010,7512
,AAPL,03/30/2011,20703
,AAPL,06/30/2011,10218
,AAPL,09/30/2011,11922
,AAPL,12/30/2011,11380
,AAPL,03/30/2012,21060
,AAPL,06/30/2012,18564
,AAPL,09/30/2012,14994
,AAPL,12/30/2012,14401
,AAPL,03/30/2013,21846
,AAPL,06/30/2013,16349
,AAPL,09/30/2013,13024
,AAPL,12/30/2013,13871
,AAPL,03/30/2014,29741
,AAPL,06/30/2014,17947
,AAPL,09/30/2014,14735
,AAPL,12/30/2014,16009
,AAPL,03/30/2015,30423
,AAPL,06/30/2015,23656
,AAPL,09/30/2015,19681
,AAPL,12/30/2015,20548
,AAPL,03/30/2016,30176
,AAPL,06/30/2016,19921
,AAPL,09/30/2016,16106
,AAPL,12/30/2016,17813
,AAPL,03/30/2017,33912
,AAPL,06/30/2017,20591
,AAPL,09/30/2017,17488
,AAPL,12/30/2017,19931
,AAPL,03/30/2018,32031
,AAPL,06/30/2018,23422
,AAPL,09/30/2018,20421
,AAPL,12/30/2018,24084
,AAPL,06/30/2019,21821
,AAPL,09/30/2019,20227
