id,symbol,date,revenue
,HPQ,06/30/2005,5141
,HPQ,09/30/2005,4817
,HPQ,12/30/2005,5381
,HPQ,03/30/2006,5267
,HPQ,06/30/2006,5584
,HPQ,09/30/2006,5418
,HPQ,12/30/2006,5962
,HPQ,03/30/2007,5946
,HPQ,06/30/2007,6251
,HPQ,09/30/2007,6213
,HPQ,12/30/2007,7193
,HPQ,03/30/2008,7023
,HPQ,06/30/2008,7057
,HPQ,09/30/2008,6835
,HPQ,12/30/2008,7750
,HPQ,03/30/2009,6734
,HPQ,06/30/2009,6438
,HPQ,09/30/2009,6554
,HPQ,12/30/2009,7337
,HPQ,03/30/2010,7150
,HPQ,06/30/2010,7280
,HPQ,09/30/2010,7364
,HPQ,12/30/2010,8387
,HPQ,03/30/2011,7921
,HPQ,06/30/2011,7800
,HPQ,09/30/2011,7288
,HPQ,12/30/2011,6818
,HPQ,03/30/2012,6723
,HPQ,06/30/2012,7152
,HPQ,09/30/2012,6849
,HPQ,12/30/2012,7248
,HPQ,03/30/2013,6330
,HPQ,06/30/2013,6527
,HPQ,09/30/2013,6367
,HPQ,12/30/2013,6694
,HPQ,03/30/2014,6418
,HPQ,06/30/2014,6605
,HPQ,09/30/2014,6611
,HPQ,12/30/2014,-8414
,HPQ,03/30/2015,2685
,HPQ,06/30/2015,2562
,HPQ,09/30/2015,2326
,HPQ,12/30/2015,6351
,HPQ,03/30/2016,2285
,HPQ,06/30/2016,2250
,HPQ,09/30/2016,2172
,HPQ,12/30/2016,2291
,HPQ,03/30/2017,2248
,HPQ,06/30/2017,2383
,HPQ,09/30/2017,2427
,HPQ,12/30/2017,2520
,HPQ,03/30/2018,2582
,HPQ,06/30/2018,2702
,HPQ,09/30/2018,2688
,HPQ,12/30/2018,2697
,HPQ,03/30/2019,2612
,HPQ,06/30/2019,2729
,HPQ,09/30/2019,2905
