id,symbol,date,revenue
,SNE,03/30/2005,4206
,SNE,06/30/2005,4630
,SNE,09/30/2005,6722
,SNE,12/30/2005,6736
,SNE,03/30/2006,4627
,SNE,06/30/2006,4811
,SNE,09/30/2006,6617
,SNE,12/30/2006,3680
,SNE,03/30/2007,5265
,SNE,06/30/2007,5033
,SNE,09/30/2007,7232
,SNE,12/30/2007,3796
,SNE,03/30/2008,5768
,SNE,06/30/2008,5360
,SNE,09/30/2008,5241
,SNE,12/30/2008,5907
,SNE,03/30/2009,5608
,SNE,06/30/2009,5849
,SNE,09/30/2009,7902
,SNE,12/30/2009,3603
,SNE,03/30/2010,6199
,SNE,06/30/2010,7295
,SNE,09/30/2010,8813
,SNE,12/30/2010,5691
,SNE,03/30/2011,6437
,SNE,06/30/2011,6922
,SNE,09/30/2011,7184
,SNE,12/30/2011,6994
,SNE,03/30/2012,6440
,SNE,06/30/2012,7176
,SNE,09/30/2012,7646
,SNE,12/30/2012,5546
,SNE,03/30/2013,6200
,SNE,06/30/2013,6331
,SNE,09/30/2013,7875
,SNE,12/30/2013,11601
,SNE,03/30/2014,6525
,SNE,06/30/2014,6721
,SNE,09/30/2014,7499
,SNE,12/30/2014,5866
,SNE,03/30/2015,5523
,SNE,06/30/2015,5537
,SNE,09/30/2015,7979
,SNE,12/30/2015,6016
,SNE,03/30/2016,5802
,SNE,06/30/2016,6333
,SNE,09/30/2016,7780
,SNE,12/30/2016,5353
,SNE,03/30/2017,6687
,SNE,06/30/2017,7451
,SNE,09/30/2017,9473
,SNE,12/30/2017,6592
,SNE,03/30/2018,7738
,SNE,06/30/2018,8640
,SNE,09/30/2018,7302
,SNE,12/30/2018,6591
,SNE,03/30/2019,7869
,SNE,12/30/2019,7954
