id,symbol,date,revenue
,AAPL,30/09/2019,20227
,AAPL,30/06/2019,21821
,AAPL,30/03/2018,32031
,AAPL,30/12/2018,24084
,AAPL,30/09/2018,20421
,AAPL,30/06/2018,23422
,AAPL,30/03/2017,33912
,AAPL,30/12/2017,19931
,AAPL,30/09/2017,17488
,AAPL,30/06/2017,20591
,AAPL,30/03/2016,30176
,AAPL,30/12/2016,17813
,AAPL,30/09/2016,16106
,AAPL,30/06/2016,19921
,AAPL,30/03/2015,30423
,AAPL,30/12/2015,20548
,AAPL,30/09/2015,19681
,AAPL,30/06/2015,23656
,AAPL,30/03/2014,29741
,AAPL,30/12/2014,16009
,AAPL,30/09/2014,14735
,AAPL,30/06/2014,17947
,AAPL,30/03/2013,21846
,AAPL,30/12/2013,13871
,AAPL,30/09/2013,13024
,AAPL,30/06/2013,16349
,AAPL,30/03/2012,21060
,AAPL,30/12/2012,14401
,AAPL,30/09/2012,14994
,AAPL,30/06/2012,18564
,AAPL,30/03/2011,20703
,AAPL,30/12/2011,11380
,AAPL,30/09/2011,11922
,AAPL,30/06/2011,10218
,AAPL,30/03/2010,10298
,AAPL,30/12/2010,7512
,AAPL,30/09/2010,6136
,AAPL,30/06/2010,5625
,AAPL,30/03/2009,6411
,AAPL,30/12/2009,5105
,AAPL,30/09/2009,3983
,AAPL,30/06/2009,3627
,AAPL,30/03/2008,4507
,AAPL,30/12/2008,4791
,AAPL,30/09/2008,2600
,AAPL,30/06/2008,2474
,AAPL,30/03/2007,3332
,AAPL,30/12/2007,2088
,AAPL,30/09/2007,1995
,AAPL,30/06/2007,1849
,AAPL,30/03/2006,2220
,AAPL,30/12/2006,1412
,AAPL,30/09/2006,1325
,AAPL,30/06/2006,1297
,AAPL,30/03/2005,1564
,AAPL,30/12/2005,1034
,AAPL,30/09/2005,1044
,AAPL,30/06/2005,968
,MSFT,30/12/2019,23305
,MSFT,30/09/2019,20401
,MSFT,30/06/2018,20048
,MSFT,30/03/2018,19179
,MSFT,30/12/2018,20343
,MSFT,30/09/2018,17550
,MSFT,30/06/2017,17854
,MSFT,30/03/2017,16260
,MSFT,30/12/2017,17149
,MSFT,30/09/2017,15152
,MSFT,30/06/2016,15925
,MSFT,30/03/2016,14084
,MSFT,30/12/2016,18469
,MSFT,30/09/2016,12809
,MSFT,30/06/2015,13924
,MSFT,30/03/2015,13172
,MSFT,30/12/2015,14712
,MSFT,30/09/2015,14568
,MSFT,30/06/2014,16334
,MSFT,30/03/2014,14928
