Date,Symbol,Price,LongTraderNumber,LongLotNumber,LongAverageEntry,ShortTraderNumber,ShortLotNumber,ShortAverageEntry
2019/06/19 10:18:07,EURCHF,1.11871,57,15.1,1.1281,37,2.4,1.1209
2019/06/19 10:18:35,GBPJPY,136.197,187,46.6,139.68,83,9.0,137.84
2019/06/19 10:19:02,USDMXN,19.1213,6,0.2,19.5314,3,0.2,19.1131
2019/06/19 10:19:30,EURGBP,0.89154,37,5.0,0.8701,163,45.4,0.8813
2019/06/19 10:19:58,EURUSD,1.12038,320,142.0,1.1293,316,116.6,1.1193
2019/06/19 10:20:27,GBPCAD,1.6809,65,28.2,1.706,30,3.5,1.69
2019/06/19 10:20:54,CADJPY,81.01899999999998,66,11.9,82.22,43,8.1,81.27
2019/06/19 10:21:23,CHFJPY,108.53,36,2.9,110.43,36,3.4,109.55
2019/06/19 10:21:50,USDCHF,0.99846,79,28.8,1.0076,82,12.8,0.9937
2019/06/19 10:22:18,USDJPY,108.384,204,52.4,109.76,108,25.4,108.72
2019/06/19 10:22:45,EURJPY,121.44,108,15.3,123.21,94,9.5,121.98
2019/06/19 10:23:12,EURCAD,1.49885,49,5.9,1.5033,41,2.1,1.4952
2019/06/19 10:23:40,GBPUSD,1.25679,281,132.4,1.2802,161,26.1,1.2647
2019/06/19 10:24:09,USDCAD,1.33777,96,24.7,1.3391,143,67.6,1.328
2019/06/19 16:22:32,EURCHF,1.1173799999999998,57,15.6,1.1278,35,1.1,1.1226
2019/06/19 16:23:00,GBPJPY,136.87,189,46.8,139.68,70,9.5,137.86
2019/06/19 16:23:28,USDMXN,19.17253,7,0.2,19.494,2,0.1,19.111
2019/06/19 16:23:56,EURGBP,0.88839,43,9.2,0.8784,159,42.0,0.8804
2019/06/19 16:24:24,EURUSD,1.12127,333,130.2,1.1302,321,147.1,1.12
2019/06/19 16:24:51,GBPCAD,1.6859099999999998,64,23.7,1.709,28,2.7,1.6931
2019/06/19 16:25:20,CADJPY,81.167,66,12.6,82.16,45,8.4,81.27
2019/06/19 16:25:46,CHFJPY,108.803,38,3.9,110.0,33,3.1,109.66
2019/06/19 16:26:14,USDCHF,0.9963299999999999,72,28.9,1.0075,85,12.4,0.9933
2019/06/19 16:26:43,USDJPY,108.418,201,52.8,109.75,123,28.2,108.69
2019/06/19 16:27:10,EURJPY,121.575,113,11.8,123.52,91,9.6,121.98
2019/06/19 16:27:37,EURCAD,1.49786,46,5.9,1.5032,40,3.0,1.4949
2019/06/19 16:28:06,GBPUSD,1.2624,263,127.1,1.2812,150,29.2,1.2646
2019/06/19 16:28:34,USDCAD,1.33572,91,18.4,1.3389,147,88.6,1.3297
2019/06/20 08:51:12,EURCHF,1.11555,59,16.0,1.1273,23,3.2,1.1171
2019/06/20 08:51:41,GBPJPY,136.64700000000002,189,48.1,139.62,74,8.8,137.96
2019/06/20 08:52:10,USDMXN,18.98343,5,0.2,19.5932,1,0.0,18.9732
2019/06/20 08:52:39,EURGBP,0.88813,46,8.7,0.8776,159,41.7,0.8802
2019/06/20 08:53:10,EURUSD,1.12731,286,120.7,1.1311,311,225.9,1.1221
2019/06/20 08:53:37,GBPCAD,1.67861,62,25.6,1.7066,26,2.9,1.6923
2019/06/20 08:54:05,CADJPY,81.388,65,11.5,82.28,45,9.2,81.27
2019/06/20 08:54:32,CHFJPY,108.777,37,2.9,110.4,30,3.4,109.56
2019/06/20 08:55:01,USDCHF,0.98918,64,28.9,1.0074,61,15.1,0.9927
2019/06/20 08:55:32,USDJPY,107.622,193,61.3,109.44,104,8.9,109.48
2019/06/20 08:55:59,EURJPY,121.33,118,12.9,123.34,85,7.4,122.1
2019/06/20 08:56:27,EURCAD,1.49104,51,9.6,1.5002,39,3.7,1.4933
2019/06/20 08:56:55,GBPUSD,1.2697100000000001,226,119.4,1.2829,150,19.2,1.2673
2019/06/20 08:57:23,USDCAD,1.32212,96,24.9,1.3342,100,55.9,1.3262
2019/06/20 21:59:13,EURCHF,1.10784,55,18.7,1.1247,20,0.5,1.1253
2019/06/20 21:59:40,GBPJPY,136.372,174,43.8,139.97,90,12.0,138.06
2019/06/20 22:00:07,USDMXN,19.00137,5,0.2,19.534,2,0.0,18.9454
2019/06/20 22:00:35,EURGBP,0.88866,41,6.5,0.8743,151,43.4,0.8805
2019/06/20 22:01:02,EURUSD,1.1289200000000001,257,132.3,1.1317,305,246.8,1.1234
2019/06/20 22:01:29,GBPCAD,1.67565,58,26.0,1.7063,21,2.5,1.6884
2019/06/20 22:01:57,CADJPY,81.366,50,10.0,82.45,40,9.0,81.28
