0,1,2
1,GBPUSD,"[[573.4, 185.0], [359.23, 85.0], [273.72, 210.0], [229.82, 110.0], [89.49, 60.0], [38.5, 35.0], [-75.65, 135.0], [-125.1, 10.0], [-492.19, 160.0]]"
1,GBPUSD,"[[392.41, 210.0], [360.21, 85.0], [243.24, 60.0], [234.85, 110.0], [94.16, 135.0], [7.2, 10.0], [-37.85, 160.0], [-102.28, 185.0], [-177.64, 35.0]]"
1,GBPUSD,"[[121.2, 35.0], [99.24, 185.0], [92.0, 160.0], [30.0, 10.0], [10.3, 135.0], [-30.55, 110.0], [-56.39, 85.0], [-84.47, 210.0], [-144.11, 60.0]]"
1,GBPUSD,"[[373.16, 85.0], [245.61, 60.0], [243.17, 110.0], [-4.74, 35.0], [-9.0, 10.0], [-206.21, 135.0], [-301.13, 160.0], [-492.18, 185.0], [-494.35, 210.0]]"
1,GBPUSD,"[[291.06, 135.0], [193.79, 160.0], [124.35, 185.0], [86.58, 210.0], [-18.43, 110.0], [-90.4, 10.0], [-136.9, 35.0], [-465.56, 60.0], [-493.4, 85.0]]"
1,GBPUSD,"[[280.72, 185.0], [263.47, 210.0], [144.48, 60.0], [64.24, 85.0], [21.8, 10.0], [-33.48, 110.0], [-51.91, 35.0], [-52.03, 135.0], [-466.45, 160.0]]"
1,GBPUSD,"[[332.0, 210.0], [327.94, 160.0], [305.67, 185.0], [302.48, 135.0], [132.93, 60.0], [125.46, 35.0], [-16.6, 10.0], [-191.89, 85.0], [-210.04, 110.0]]"
1,GBPUSD,"[[126.33, 35.0], [-27.75, 135.0], [-41.1, 10.0], [-152.54, 60.0], [-322.01, 160.0], [-368.84, 185.0], [-418.18, 210.0], [-492.62, 110.0], [-493.06, 85.0]]"
1,GBPUSD,"[[371.0, 185.0], [343.95, 160.0], [300.35, 135.0], [248.65, 110.0], [187.95, 85.0], [51.16, 35.0], [-10.6, 10.0], [-168.65, 60.0], [-191.91, 210.0]]"
1,GBPUSD,"[[347.73, 160.0], [124.98, 60.0], [55.6, 35.0], [-18.1, 10.0], [-34.35, 135.0], [-151.44, 85.0], [-493.34, 185.0], [-494.1, 110.0], [-520.12, 210.0]]"
1,GBPUSD,"[[277.41, 135.0], [238.2, 110.0], [160.23, 85.0], [156.47, 160.0], [109.6, 60.0], [55.8, 35.0], [-29.3, 10.0], [-493.9, 210.0], [-493.9, 185.0]]"
1,GBPUSD,"[[228.7, 110.0], [211.04, 35.0], [175.83, 85.0], [7.59, 60.0], [-56.3, 10.0], [-96.65, 135.0], [-494.38, 210.0], [-494.45, 160.0], [-498.8, 185.0]]"
1,GBPUSD,"[[374.18, 210.0], [350.81, 185.0], [322.72, 160.0], [280.72, 135.0], [232.39, 110.0], [175.61, 85.0], [124.84, 35.0], [113.71, 60.0], [55.5, 10.0]]"
1,GBPUSD,"[[374.18, 210.0], [350.81, 185.0], [322.72, 160.0], [280.72, 135.0], [232.39, 110.0], [175.61, 85.0], [124.84, 35.0], [113.71, 60.0], [55.5, 10.0]]"
1,GBPUSD,"[[1540.0, 210.0], [1265.39, 185.0], [1022.71, 160.0], [803.78, 135.0], [122.19, 110.0], [81.44, 35.0], [-72.7, 10.0], [-112.43, 60.0], [-494.36, 85.0]]"
1,GBPUSD,"[[826.85, 210.0], [730.16, 185.0], [624.78, 160.0], [524.73, 135.0], [117.02, 60.0], [57.21, 110.0], [51.41, 35.0], [40.83, 85.0], [-84.8, 10.0]]"
1,GBPUSD,"[[387.24, 135.0], [313.78, 110.0], [235.42, 85.0], [32.88, 210.0], [32.2, 10.0], [-40.56, 60.0], [-252.1, 35.0], [-494.36, 185.0], [-494.53, 160.0]]"
1,GBPUSD,"[[165.43, 60.0], [87.78, 110.0], [83.0, 85.0], [-106.1, 35.0], [-125.4, 10.0], [-494.11, 185.0], [-494.11, 160.0], [-494.65, 135.0], [-495.0, 210.0]]"
1,GBPUSD,"[[138.07, 210.0], [136.23, 185.0], [-36.7, 35.0], [-39.3, 10.0], [-86.37, 85.0], [-180.2, 60.0], [-231.47, 110.0], [-493.57, 135.0], [-493.92, 160.0]]"
1,GBPUSD,"[[125.54, 60.0], [120.53, 35.0], [8.2, 10.0], [-154.8, 85.0], [-493.64, 135.0], [-493.95, 160.0], [-494.05, 185.0], [-494.1, 110.0], [-495.35, 210.0]]"
1,GBPUSD,"[[6.67, 60.0], [-34.1, 10.0], [-97.9, 35.0], [-126.74, 85.0], [-203.15, 110.0], [-493.73, 185.0], [-493.88, 160.0], [-494.11, 135.0], [-494.21, 210.0]]"
1,GBPUSD,"[[426.67, 160.0], [350.92, 135.0], [275.87, 110.0], [143.45, 210.0], [0.3, 35.0], [-42.5, 10.0], [-119.07, 60.0], [-257.1, 85.0], [-496.53, 185.0]]"
1,GBPUSD,"[[805.93, 185.0], [784.23, 210.0], [617.48, 160.0], [373.99, 135.0], [302.14, 110.0], [144.49, 60.0], [56.4, 10.0], [-18.08, 85.0], [-51.93, 35.0]]"
1,GBPUSD,"[[55.02, 160.0], [27.71, 60.0], [6.5, 10.0], [-0.3, 35.0], [-0.77, 85.0], [-27.87, 110.0], [-106.75, 135.0], [-309.31, 210.0], [-325.31, 185.0]]"
1,GBPUSD,"[[135.85, 85.0], [117.13, 135.0], [72.53, 60.0], [33.9, 35.0], [15.9, 10.0], [-152.78, 110.0], [-493.61, 160.0], [-493.71, 185.0], [-494.21, 210.0]]"
1,GBPUSD,"[[802.93, 135.0], [325.9, 160.0], [288.11, 60.0], [245.68, 110.0], [185.17, 85.0], [156.38, 35.0], [31.9, 10.0], [-27.68, 210.0], [-60.89, 185.0]]"
1,GBPUSD,"[[802.93, 135.0], [325.9, 160.0], [288.11, 60.0], [245.68, 110.0], [185.17, 85.0], [156.38, 35.0], [31.9, 10.0], [-27.68, 210.0], [-60.89, 185.0]]"
1,GBPUSD,"[[392.03, 135.0], [287.28, 60.0], [236.2, 85.0], [58.83, 110.0], [54.46, 160.0], [18.56, 35.0], [-41.0, 10.0], [-236.67, 185.0], [-364.99, 210.0]]"
1,GBPUSD,"[[132.87, 60.0], [78.72, 85.0], [62.05, 210.0], [47.41, 185.0], [-10.7, 10.0], [-36.9, 35.0], [-214.58, 110.0], [-237.96, 160.0], [-262.9, 135.0]]"
1,GBPUSD,"[[287.77, 160.0], [80.18, 35.0], [-17.07, 60.0], [-59.4, 10.0], [-324.32, 185.0], [-341.7, 85.0], [-380.14, 210.0], [-494.01, 135.0], [-494.12, 110.0]]"
1,GBPUSD,"[[236.58, 60.0], [159.49, 185.0], [121.61, 35.0], [99.58, 160.0], [92.75, 210.0], [36.72, 85.0], [15.7, 10.0], [-93.5, 110.0], [-117.51, 135.0]]"
1,GBPUSD,"[[598.32, 85.0], [581.71, 210.0], [539.23, 185.0], [508.47, 160.0], [465.63, 135.0], [382.26, 60.0], [202.48, 35.0], [98.49, 110.0], [53.3, 10.0]]"
1,GBPUSD,"[[42.3, 10.0], [-153.93, 185.0], [-175.64, 35.0], [-235.07, 210.0], [-263.91, 135.0], [-333.23, 160.0], [-493.91, 60.0], [-493.96, 85.0], [-494.1, 110.0]]"
