Date,Symbol,Price,Hour1Buy,Hour1Sell,Hour1Neutral,Hour4Buy,Hour4Sell,Hour4Neutral,DayBuy,DaySell,DayNeutral,WeekBuy,WeekSell,WeekNeutral,MonthBuy,MonthSell,MonthNeutral,Hour1Desition,Hour4Desition,DayDesition,WeekDesition,MonthDesition,Hour1PeriodStatus,Hour1ClosingPrice,Hour4PeriodStatus,Hour4ClosingPrice,DayPeriodStatus,DayClosingPrice,WeekPeriodStatus,WeekClosingPrice,MonthPeriodStatus,MonthClosingPrice,Hour1Accuracy,Hour1ProfitPercentage,Hour4Accuracy,Hour4ProfitPercentage,DayAccuracy,DayProfitPercentage,WeekAccuracy,WeekProfitPercentage,MonthAccuracy,MonthProfitPercentage
2019-04-16 22:42:12,EURCHF,1.137,14,5,9,17,4,7,17,1,9,12,5,10,9,5,9,BUY,BUY,BUY,BUY,NEUTRAL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:42:37,GBPJPY,146.17,4,14,10,8,11,9,16,1,10,12,5,10,8,7,8,SELL,SELL,BUY,BUY,NEUTRAL,CLOSED,146.2,CLOSED,146.2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0002051983584131405,0,-0.0002051983584131405,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:43:02,USDMXN,18.8681,8,12,8,7,13,8,5,14,8,3,16,8,5,9,9,SELL,SELL,SELL,SELL,NEUTRAL,CLOSED,18.8606,CLOSED,18.8606,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.00039765436942603794,1,0.00039765436942603794,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:43:28,EURGBP,0.8646,15,3,10,17,2,9,12,6,9,6,11,10,6,10,7,BUY,BUY,BUY,SELL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:43:53,EURUSD,1.1282,5,15,8,6,13,9,9,9,9,4,13,10,2,13,8,SELL,SELL,NEUTRAL,SELL,SELL,CLOSED,1.1311,CLOSED,1.1311,CLOSED,1.1301,PENDING,PENDING,PENDING,PENDING,0,-0.0025638758730438535,0,-0.0025638758730438535,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:44:19,GBPCAD,1.742,2,17,9,1,17,10,5,13,9,13,4,10,11,4,8,SELL,SELL,SELL,BUY,BUY,CLOSED,1.7399,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.001206965917581465,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:44:45,CADJPY,83.89,18,1,9,18,2,8,15,3,9,9,8,10,3,11,9,BUY,BUY,BUY,NEUTRAL,SELL,CLOSED,83.89,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,0.0,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:45:11,CHFJPY,111.15,2,16,10,3,18,7,3,14,10,4,14,9,3,11,9,SELL,SELL,SELL,SELL,SELL,CLOSED,110.87,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.0025254802922341584,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:45:37,USDCHF,1.0077,19,3,6,18,4,6,17,1,9,16,1,10,12,1,10,BUY,BUY,BUY,BUY,BUY,CLOSED,1.0106,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,1,0.002869582426281321,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-16 22:46:05,USDJPY,112.02,20,0,8,16,2,10,16,3,8,17,1,9,13,1,9,BUY,BUY,BUY,BUY,BUY,CLOSED,111.95,CLOSED,111.97,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0006252791424742579,0,-0.00044654818254887164,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
